,日期,成交股數,開盤價,最高價,最低價,收盤價,成交筆數
0,103/04/01,"1,073,541",185.0,189.0,180.0,185.0,893
1,103/04/02,"964,327",187.5,192.0,186.5,188.0,777
2,103/04/03,"727,687",189.0,191.0,187.0,188.0,537
3,103/04/07,"1,151,361",188.5,195.0,188.5,194.5,824
4,103/04/08,"694,682",194.5,194.5,189.0,190.5,563
5,103/04/09,"420,600",191.0,192.0,189.5,190.5,331
6,103/04/10,"1,790,985",194.0,203.5,194.0,203.5,"1,398"
7,103/04/11,"1,425,763",201.0,209.0,193.0,207.0,"1,135"
8,103/04/14,"791,119",207.0,213.0,199.0,200.0,689
9,103/04/15,"563,429",201.5,204.0,195.0,196.5,498
10,103/04/16,"456,138",197.5,202.0,195.0,196.5,411
11,103/04/17,"527,781",200.5,203.0,196.0,196.5,446
12,103/04/18,"546,870",198.0,198.0,190.5,191.0,516
13,103/04/21,"196,444",192.0,193.0,188.5,189.5,185
14,103/04/22,"481,525",190.0,197.0,190.0,194.5,358
15,103/04/23,"341,710",198.0,198.0,190.0,192.0,297
16,103/04/24,"253,400",194.0,194.5,191.5,194.0,230
17,103/04/25,"590,200",196.0,196.0,190.0,193.0,446
18,103/04/28,"699,297",192.5,202.0,191.0,200.0,571
19,103/04/29,"444,225",201.5,202.0,198.0,200.5,367
0,103/05/02,"903,446",197.0,207.0,197.0,205.0,672
1,103/05/05,"342,100",206.0,208.5,201.5,203.0,248
2,103/05/06,"317,400",205.0,205.0,201.0,202.0,253
3,103/05/07,"842,613",202.0,214.0,201.0,214.0,639
4,103/05/08,"1,488,415",215.0,228.5,210.0,226.5,"1,144"
5,103/05/09,"724,395",225.0,225.0,216.0,218.5,632
6,103/05/12,"280,555",222.0,222.0,216.0,216.0,243
7,103/05/13,"622,150",219.0,226.0,215.5,221.0,510
8,103/05/14,"653,716",222.5,235.5,217.0,233.0,599
9,103/05/15,"397,179",230.0,234.5,227.5,230.0,364
10,103/05/16,"418,580",229.0,231.5,224.0,230.0,341
11,103/05/19,"769,277",229.5,233.0,214.0,216.0,700
12,103/05/20,"686,638",216.0,222.5,216.0,220.5,549
13,103/05/21,"332,300",220.5,222.5,215.0,216.0,291
14,103/05/22,"400,711",219.5,223.0,218.0,220.0,356
15,103/05/23,"271,508",221.5,222.5,218.0,219.0,238
16,103/05/26,"469,547",219.0,234.0,219.0,228.5,440
17,103/05/27,"433,433",229.5,235.0,226.0,228.5,387
18,103/05/28,"460,550",228.5,229.5,219.0,221.5,410
19,103/05/29,"471,840",222.0,227.0,217.0,227.0,428
0,103/06/03,"182,741",222.5,225.0,220.0,223.0,162
1,103/06/04,"159,255",224.0,226.0,220.5,223.5,156
2,103/06/05,"249,615",225.0,225.0,218.0,220.0,206
3,103/06/06,"240,247",220.0,222.0,216.5,218.0,204
4,103/06/09,"395,150",222.0,226.0,218.5,225.0,343
5,103/06/10,"320,452",225.0,225.0,219.0,220.0,266
6,103/06/11,"205,625",220.0,223.0,220.0,220.0,181
7,103/06/12,"549,796",220.5,228.5,220.0,228.5,463
8,103/06/13,"1,112,169",229.0,240.0,228.0,240.0,918
9,103/06/16,"802,874",240.0,248.0,240.0,245.0,659
10,103/06/17,"522,511",246.0,248.0,238.5,243.0,452
11,103/06/18,"296,481",245.0,246.0,239.5,244.5,274
12,103/06/19,"219,658",244.5,246.0,241.0,243.0,177
13,103/06/20,"170,200",244.5,244.5,240.0,240.0,157
14,103/06/23,"473,043",240.0,240.0,228.5,229.0,394
15,103/06/24,"248,662",228.0,233.0,224.5,224.5,231
16,103/06/25,"267,410",224.0,227.5,222.0,225.5,230
17,103/06/26,"281,237",225.5,231.5,225.5,229.0,227
18,103/06/27,"246,242",232.0,234.0,229.0,230.0,239
0,103/07/01,"131,295",230.0,232.0,229.0,231.0,124
1,103/07/02,"394,501",232.0,238.0,231.0,234.0,326
2,103/07/03,"180,161",234.0,235.0,231.0,231.5,157
3,103/07/04,"225,384",232.0,235.5,228.0,231.0,197
4,103/07/07,"264,732",231.0,232.0,222.0,224.0,213
5,103/07/08,"139,220",221.0,226.5,221.0,225.0,109
6,103/07/09,"195,053",225.0,226.5,223.0,223.5,152
7,103/07/10,"199,060",226.0,229.0,223.5,223.5,170
8,103/07/11,"459,676",222.5,222.5,215.0,219.0,397
9,103/07/14,"245,246",219.0,221.5,215.0,220.5,198
10,103/07/15,"308,113",222.0,224.0,218.5,221.0,257
11,103/07/16,"122,595",221.0,221.5,217.0,218.0,101
12,103/07/17,"1,522,432",221.0,221.0,217.0,219.0,104
13,103/07/18,"297,360",219.0,223.0,219.0,222.0,245
14,103/07/21,"130,240",222.0,223.5,220.0,220.0,116
15,103/07/22,"100,065",221.5,222.0,218.5,219.0,76
16,103/07/24,"238,734",219.0,224.5,219.0,222.5,209
17,103/07/25,"161,115",222.0,222.0,217.0,217.0,139
18,103/07/28,"286,289",216.0,216.0,207.0,209.0,266
19,103/07/29,"272,128",213.0,213.0,199.5,200.5,244
20,103/07/30,"123,282",201.0,205.0,201.0,205.0,116
0,103/08/01,"177,248",206.0,208.5,204.0,206.5,170
1,103/08/04,"185,600",205.0,206.0,202.5,203.5,163
2,103/08/05,"157,309",204.5,204.5,200.0,200.0,122
3,103/08/06,"264,115",200.0,209.0,199.5,208.0,230
4,103/08/07,"176,071",207.0,211.0,200.0,202.5,156
5,103/08/08,"180,391",204.5,205.5,202.0,205.0,164
6,103/08/11,"580,772",207.0,219.0,207.0,219.0,394
7,103/08/12,"277,743",219.0,221.0,216.5,217.5,257
8,103/08/13,"527,339",217.5,225.0,217.5,223.0,461
9,103/08/14,"178,330",225.0,226.5,218.5,219.0,156
10,103/08/15,"592,395",221.0,234.0,221.0,231.0,509
11,103/08/18,"338,050",230.0,233.0,226.0,228.5,304
12,103/08/19,"247,750",229.5,232.0,227.5,231.0,159
13,103/08/20,"277,604",234.0,236.0,228.0,229.0,211
14,103/08/21,"232,692",229.0,232.0,221.0,228.0,176
15,103/08/22,"910,751",229.0,238.0,227.0,233.5,693
16,103/08/25,"614,590",218.0,225.0,218.0,222.0,429
17,103/08/26,"252,000",222.0,223.5,220.5,222.5,209
18,103/08/27,"168,880",223.5,229.0,223.5,227.5,157
19,103/08/28,"245,216",229.0,232.0,227.0,231.5,194
0,103/09/01,"417,554",238.0,246.5,237.5,242.0,345
1,103/09/02,"525,646",242.0,251.0,237.0,245.0,448
2,103/09/03,"531,524",247.0,255.5,245.0,255.5,435
3,103/09/04,"893,684",255.5,272.5,255.5,268.0,751
4,103/09/05,"539,895",269.0,271.0,261.0,267.0,390
5,103/09/09,"376,176",269.0,270.0,261.0,265.0,329
6,103/09/10,"237,832",265.0,265.0,255.0,260.0,221
7,103/09/11,"201,350",261.5,261.5,255.5,260.0,187
8,103/09/12,"265,769",258.5,259.0,249.5,253.5,246
9,103/09/15,"321,098",249.5,251.5,242.0,244.0,304
10,103/09/16,"280,550",245.0,253.0,244.0,250.5,249
11,103/09/17,"286,180",250.5,260.0,250.5,257.0,272
12,103/09/18,"114,590",262.5,262.5,254.0,254.0,121
13,103/09/19,"336,200",254.0,258.5,248.0,258.5,216
14,103/09/22,"117,079",256.0,257.5,252.0,253.0,124
15,103/09/23,"130,113",249.0,253.0,248.0,250.0,128
16,103/09/24,"219,219",249.5,252.5,245.0,245.5,200
17,103/09/25,"346,213",246.0,248.0,233.0,236.0,309
18,103/09/26,"192,284",233.0,240.0,231.0,240.0,178
19,103/09/29,"96,101",238.5,240.0,237.0,237.0,92
0,103/10/01,"261,435",238.5,255.5,238.5,255.0,229
1,103/10/02,"167,300",252.0,252.0,246.0,247.0,169
2,103/10/03,"144,500",248.0,250.0,243.0,245.5,139
3,103/10/06,"152,250",245.5,249.5,239.5,241.0,153
4,103/10/07,"260,100",242.0,247.5,240.5,243.0,214
5,103/10/08,"838,140",244.0,260.0,244.0,258.0,703
6,103/10/09,"412,544",257.0,263.5,251.5,254.5,454
7,103/10/13,"377,263",240.5,246.5,237.0,237.0,372
8,103/10/14,"184,633",237.0,241.0,234.0,239.5,222
