"10311る 0050 じ芖50       らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/11/03","10,607,272","695,909,182","65.30","65.90","65.30","65.60","+0.30","2,111",
"103/11/04","11,030,190","725,801,969","65.75","66.05","65.55","65.65","+0.05","1,924",
"103/11/05","10,539,898","690,084,592","65.80","65.85","65.35","65.50","-0.15","1,402",
"103/11/06","21,140,332","1,382,416,081","65.55","65.70","64.95","65.10","-0.40","1,835",
"103/11/07","10,652,381","692,458,545","65.00","65.25","64.70","65.20","+0.10","1,675",
"103/11/10","16,374,760","1,082,026,881","65.40","66.30","65.25","66.15","+0.95","3,093",
"103/11/11","15,092,009","998,173,676","66.25","66.35","65.95","65.95","-0.20","1,554",
"103/11/12","18,800,660","1,227,582,072","65.75","65.85","64.90","65.00","-0.95","2,670",
"103/11/13","10,844,738","709,408,088","65.00","65.65","65.00","65.65","+0.65","1,196",
"103/11/14","11,059,784","724,599,745","65.30","65.80","65.30","65.70","+0.05","882",
"103/11/17","17,461,938","1,141,481,839","66.05","66.10","64.80","65.10","-0.60","1,958",
"103/11/18","9,940,608","646,618,770","65.30","65.60","64.80","64.90","-0.20","1,510",
"103/11/19","18,485,249","1,216,573,062","65.15","66.10","65.15","65.85","+0.95","2,950",
"103/11/20","20,762,772","1,381,474,747","66.05","66.70","66.05","66.60","+0.75","3,077",
"103/11/21","11,947,733","795,848,615","66.60","66.80","66.45","66.65","+0.05","1,352",
"103/11/24","13,197,946","884,765,130","66.90","67.20","66.75","66.80","+0.15","1,670",
"103/11/25","13,192,380","882,252,305","66.65","67.05","66.45","66.85","+0.05","1,639",
"103/11/26","8,909,455","595,197,353","66.75","66.90","66.65","66.85"," 0.00","1,051",
"103/11/27","16,528,637","1,116,591,528","67.15","67.85","67.15","67.50","+0.65","3,059",
"103/11/28","9,382,047","633,454,608","67.55","67.70","67.35","67.50"," 0.00","1,578",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

