"9601る 0051 じい100      らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/01/02","2,536,000","83,528,580","32.98","33.15","32.70","33.15","+0.15","330",
" 96/01/03","1,461,000","48,448,460","33.15","33.34","32.91","33.15"," 0.00","310",
" 96/01/04","2,124,000","70,258,690","33.05","33.22","32.97","32.99","-0.16","383",
" 96/01/05","1,449,000","47,536,020","33.00","33.29","32.50","32.66","-0.33","336",
" 96/01/08","1,671,000","54,156,570","32.65","32.65","32.21","32.30","-0.36","321",
" 96/01/09","1,226,000","39,857,310","32.20","32.64","32.20","32.53","+0.23","227",
" 96/01/10","1,397,000","45,035,270","32.41","32.47","32.16","32.18","-0.35","270",
" 96/01/11","1,251,000","40,022,420","32.18","32.35","31.55","31.63","-0.55","329",
" 96/01/12","1,308,000","41,906,450","31.63","32.24","31.63","32.00","+0.37","294",
" 96/01/15","1,419,000","45,573,170","32.29","32.46","31.50","32.35","+0.35","225",
" 96/01/16","395,000","12,774,420","32.35","32.39","32.25","32.35"," 0.00","103",
" 96/01/17","1,180,000","38,077,840","32.25","32.40","32.11","32.26","-0.09","147",
" 96/01/18","2,384,000","77,772,020","32.26","32.75","32.26","32.75","+0.49","294",
" 96/01/19","1,400,000","45,806,880","32.70","32.78","32.60","32.70","-0.05","209",
" 96/01/22","555,000","18,065,990","32.70","32.70","32.42","32.70"," 0.00","108",
" 96/01/23","243,000","7,919,110","32.67","32.67","32.50","32.60","-0.10","75",
" 96/01/24","783,000","25,680,390","32.68","32.90","32.68","32.80","+0.20","149",
" 96/01/25","1,020,100","33,361,720","32.00","32.90","32.00","32.70","-0.10","199",
" 96/01/26","319,000","10,379,280","32.66","32.66","32.45","32.51","-0.19","111",
" 96/01/29","751,000","24,301,190","32.31","32.51","32.10","32.21","-0.30","117",
" 96/01/30","927,000","29,728,830","32.20","32.21","31.95","32.15","-0.06","140",
" 96/01/31","1,294,100","41,292,520","32.15","32.15","31.60","31.72","-0.43","221",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

