"107年02月 0051 元大中型100      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","9,000","292,230","32.52","32.52","32.40","32.40","+0.01","7",
"107/02/02","6,500","210,059","32.36","32.36","32.30","32.30","-0.10","9",
"107/02/05","8,524","272,351","32.20","32.20","31.50","31.75","-0.55","12",
"107/02/06","71,450","2,175,397","31.75","31.75","29.86","29.99","-1.76","51",
"107/02/07","13,801","428,062","30.83","31.10","30.80","30.80","+0.81","14",
"107/02/08","39,442","1,201,538","31.00","31.00","30.33","30.33","-0.47","25",
"107/02/09","36,081","1,070,666","30.33","30.33","29.34","29.87","-0.46","26",
"107/02/12","10,300","310,899","29.87","30.25","29.87","30.25","+0.38","12",
"107/02/21","8,810","274,698","31.00","31.15","30.74","31.14","+0.89","11",
"107/02/22","18,090","560,254","31.08","31.08","30.86","31.05","-0.09","14",
"107/02/23","13,525","426,066","31.25","31.50","31.25","31.45","+0.40","10",
"107/02/26","6,000","189,320","31.52","31.57","31.52","31.57","+0.12","3",
"107/02/27","10,700","340,670","31.75","32.02","31.75","32.00","+0.43","10",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

