"10107る 0052 碔üм         らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/07/02","5,000","144,200","28.75","28.90","28.75","28.90","+0.25","3",
"101/07/03","9,000","264,890","29.00","29.52","29.00","29.52","+0.62","7",
"101/07/04","1,000","29,480","29.48","29.48","29.48","29.48","-0.04","1",
"101/07/05","3,000","88,280","29.44","29.44","29.41","29.43","-0.05","3",
"101/07/06","1,000","29,000","29.00","29.00","29.00","29.00","-0.43","1",
"101/07/09","4,000","116,560","28.96","29.20","28.96","29.20","+0.20","2",
"101/07/10","3,000","86,910","28.51","29.20","28.51","29.20"," 0.00","3",
"101/07/11","1,000","29,000","29.00","29.00","29.00","29.00","-0.20","1",
"101/07/12","7,000","200,000","28.50","29.00","28.50","29.00"," 0.00","4",
"101/07/13","2,000","58,400","29.20","29.20","29.20","29.20","+0.20","2",
"101/07/16","2,000","57,700","29.20","29.20","28.50","28.50","-0.70","2",
"101/07/17","4,000","118,000","29.00","30.00","29.00","30.00","+1.50","4",
"101/07/18","1,000","29,200","29.20","29.20","29.20","29.20","-0.80","1",
"101/07/19","9,000","252,800","28.50","28.50","27.90","27.90","-1.30","9",
"101/07/20","1,000","28,000","28.00","28.00","28.00","28.00","+0.10","1",
"101/07/23","10,000","272,530","28.00","28.00","26.81","26.81","-1.19","10",
"101/07/24","2,000","53,800","26.68","27.12","26.68","27.12","+0.31","2",
"101/07/25","1,000","27,500","27.50","27.50","27.50","27.50","+0.38","1",
"101/07/26","4,000","108,200","27.20","27.20","27.00","27.00","-0.50","4",
"101/07/27","4,000","111,950","27.50","28.30","27.50","28.30","+1.30","4",
"101/07/30","11,000","310,240","28.50","28.50","27.80","27.80","-0.50","7",
"101/07/31","0","0","--","--","--","--"," 0.00","0",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

