"106年04月 0052 富邦科技         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","105","4,830","--","--","--","--"," 0.00","2",
"106/04/06","4,000","182,450","45.72","45.72","45.57","45.57","X0.00","3",
"106/04/07","31,022","1,391,653","45.35","45.35","44.72","44.72","-0.85","11",
"106/04/10","2,000","90,630","45.33","45.33","45.30","45.30","+0.58","2",
"106/04/11","8,000","360,310","45.29","45.29","44.83","45.19","-0.11","5",
"106/04/12","7,000","314,270","44.94","45.15","44.79","44.80","-0.39","6",
"106/04/13","1,000","45,400","45.40","45.40","45.40","45.40","+0.60","1",
"106/04/14","1,000","44,390","44.39","44.39","44.39","44.39","-1.01","1",
"106/04/17","5,000","223,310","44.69","44.69","44.65","44.65","+0.26","4",
"106/04/18","3,000","134,590","44.85","44.87","44.85","44.87","+0.22","3",
"106/04/19","1,000","44,430","44.43","44.43","44.43","44.43","-0.44","1",
"106/04/20","3,000","133,640","44.60","44.60","44.48","44.56","+0.13","3",
"106/04/21","8,000","358,280","44.53","44.90","44.53","44.90","+0.34","4",
"106/04/24","2,000","89,980","45.08","45.08","44.90","44.90"," 0.00","2",
"106/04/25","15,100","677,980","44.90","45.30","44.79","45.30","+0.40","10",
"106/04/26","5,000","225,890","45.08","45.32","45.08","45.32","+0.02","4",
"106/04/27","8,000","360,780","44.57","45.30","44.57","45.30","-0.02","6",
"106/04/28","1,976","90,184","45.64","45.64","45.64","45.64","+0.34","2",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

