"106年06月 0053 元大電子         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","5,001","168,533","33.77","33.77","33.59","33.59","+0.09","6",
"106/06/02","113,000","3,814,490","33.70","33.84","33.70","33.75","+0.16","11",
"106/06/03","3,000","102,000","34.00","34.00","34.00","34.00","+0.25","2",
"106/06/05","33,000","1,125,830","33.98","34.30","33.98","34.20","+0.20","17",
"106/06/06","29,000","989,820","34.13","34.14","34.13","34.13","-0.07","8",
"106/06/07","14,000","478,550","34.18","34.30","34.10","34.10","-0.03","11",
"106/06/08","27,000","923,270","34.20","34.23","34.18","34.23","+0.13","8",
"106/06/09","11,000","377,890","34.23","34.42","34.23","34.33","+0.10","9",
"106/06/12","12,000","407,280","33.94","34.00","33.80","33.99","-0.34","8",
"106/06/13","25,000","843,260","34.00","34.00","33.70","33.76","-0.23","11",
"106/06/14","5,000","168,810","33.81","33.81","33.75","33.75","-0.01","2",
"106/06/15","11,000","368,590","33.49","33.52","33.49","33.52","-0.23","10",
"106/06/16","12,000","406,160","33.52","33.93","33.52","33.93","+0.41","11",
"106/06/19","36,000","1,231,610","34.10","34.40","34.10","34.40","+0.47","16",
"106/06/20","46,000","1,603,500","34.71","34.96","34.71","34.88","+0.48","30",
"106/06/21","66,000","2,296,270","34.94","34.94","34.77","34.80","-0.08","16",
"106/06/22","108,000","3,783,820","35.06","35.10","34.99","35.03","+0.23","21",
"106/06/23","47,000","1,646,320","35.05","35.12","35.00","35.00","-0.03","13",
"106/06/26","88,069","3,131,995","35.30","35.69","35.20","35.69","+0.69","27",
"106/06/27","48,028","1,713,156","35.69","35.70","35.51","35.60","-0.09","13",
"106/06/28","8,000","284,770","35.60","35.62","35.58","35.59","-0.01","8",
"106/06/29","10,000","355,820","35.50","35.70","35.50","35.70","+0.11","9",
"106/06/30","22,000","768,310","35.50","35.50","34.88","34.88","-0.82","6",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

