"107年04月 0055 元大MSCI金融     各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","125,011","2,086,543","16.70","16.70","16.69","16.69","-0.01","12",
"107/04/03","67,435","1,118,062","16.71","16.71","16.56","16.58","-0.11","31",
"107/04/09","28,005","466,322","16.61","16.66","16.61","16.66","+0.08","18",
"107/04/10","34,846","584,908","16.67","16.88","16.67","16.88","+0.22","27",
"107/04/11","119,000","2,016,050","16.95","16.97","16.90","16.92","+0.04","29",
"107/04/12","29,000","491,450","16.96","16.97","16.92","16.95","+0.03","16",
"107/04/13","12,588","214,037","17.01","17.01","16.92","16.93","-0.02","13",
"107/04/16","45,000","760,120","16.93","16.93","16.87","16.87","-0.06","15",
"107/04/17","29,000","485,960","16.92","16.92","16.71","16.72","-0.15","10",
"107/04/18","15,000","251,590","16.85","16.85","16.75","16.76","+0.04","7",
"107/04/19","70,500","1,190,180","16.82","16.93","16.82","16.93","+0.17","24",
"107/04/20","67,000","1,134,780","16.90","16.95","16.88","16.95","+0.02","15",
"107/04/23","65,000","1,104,150","16.96","17.00","16.95","17.00","+0.05","17",
"107/04/24","120,160","2,042,551","17.03","17.03","16.95","16.99","-0.01","23",
"107/04/25","69,000","1,167,780","16.99","16.99","16.90","16.94","-0.05","25",
"107/04/26","26,000","440,900","16.99","16.99","16.94","16.96","+0.02","14",
"107/04/27","88,000","1,497,690","17.02","17.04","17.00","17.04","+0.08","36",
"107/04/30","144,000","2,468,740","17.09","17.20","17.09","17.20","+0.16","38",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

