"10311る 00631L じ芖50タ2    らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/11/03","9,493,012","193,590,168","20.18","20.55","20.18","20.36","+0.16","1,838",
"103/11/04","6,319,001","129,509,363","20.50","20.65","20.35","20.47","+0.11","979",
"103/11/05","6,678,011","135,954,477","20.51","20.55","20.27","20.30","-0.17","935",
"103/11/06","11,615,001","235,132,360","20.36","20.40","20.01","20.01","-0.29","1,713",
"103/11/07","7,986,000","160,384,680","20.08","20.18","19.90","20.13","+0.12","990",
"103/11/10","11,468,000","236,002,890","20.17","20.84","20.17","20.74","+0.61","1,592",
"103/11/11","5,157,500","107,222,845","20.80","20.87","20.66","20.69","-0.05","374",
"103/11/12","4,540,000","91,909,810","20.50","20.58","20.01","20.10","-0.59","1,010",
"103/11/13","2,603,000","52,736,780","20.18","20.34","20.11","20.30","+0.20","444",
"103/11/14","2,766,000","56,262,200","20.31","20.44","20.22","20.32","+0.02","316",
"103/11/17","6,690,000","134,705,980","20.51","20.60","19.93","20.06","-0.26","783",
"103/11/18","4,107,100","82,147,770","20.12","20.25","19.80","19.90","-0.16","605",
"103/11/19","7,710,000","156,750,310","19.95","20.47","19.95","20.38","+0.48","971",
"103/11/20","4,873,000","101,278,040","20.50","20.92","20.50","20.91","+0.53","657",
"103/11/21","3,379,000","70,753,990","20.93","21.03","20.87","20.94","+0.03","267",
"103/11/24","7,501,100","158,528,442","21.05","21.40","21.00","21.02","+0.08","239",
"103/11/25","8,497,000","178,924,130","21.04","21.20","20.82","21.10","+0.08","210",
"103/11/26","6,362,000","133,955,820","21.07","21.13","20.97","21.06","-0.04","236",
"103/11/27","5,204,400","111,455,617","21.18","21.57","21.18","21.35","+0.29","376",
"103/11/28","7,845,400","167,776,090","21.35","21.46","21.29","21.40","+0.05","275",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

