"108年03月 00631L 元大台灣50正2    各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","1,120,278","39,712,564","35.75","35.80","35.16","35.44","-0.36","387",
"108/03/05","2,545,250","89,484,752","35.11","35.32","34.95","35.19","-0.25","442",
"108/03/06","501,000","17,731,810","35.29","35.49","35.29","35.42","+0.23","192",
"108/03/07","651,297","22,989,565","35.39","35.49","35.09","35.10","-0.32","258",
"108/03/08","1,362,272","47,149,720","34.76","34.86","34.42","34.65","-0.45","649",
"108/03/11","383,000","13,268,310","34.46","34.81","34.40","34.80","+0.15","220",
"108/03/12","1,392,000","49,636,540","35.40","35.86","35.39","35.70","+0.90","637",
"108/03/13","701,116","24,904,229","35.51","35.67","35.32","35.66","-0.04","299",
"108/03/14","558,200","19,925,308","35.79","35.86","35.47","35.57","-0.09","238",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

