"10506る 00632R じ芖50は1    らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/06/01","143,055,255","2,677,679,792","18.86","18.86","18.66","18.72","-0.10","20,442",
"105/06/02","141,387,889","2,643,325,944","18.70","18.80","18.61","18.75","+0.03","16,680",
"105/06/03","77,696,200","1,453,095,397","18.72","18.74","18.65","18.70","-0.05","9,337",
"105/06/04","49,189,322","918,633,789","18.70","18.71","18.65","18.66","-0.04","5,547",
"105/06/06","81,471,975","1,519,139,837","18.63","18.79","18.51","18.68","+0.02","12,003",
"105/06/07","203,749,460","3,771,804,475","18.60","18.60","18.45","18.45","-0.23","28,727",
"105/06/08","159,811,011","2,937,255,980","18.44","18.44","18.32","18.36","-0.09","20,359",
"105/06/13","108,355,850","2,023,502,817","18.58","18.78","18.57","18.77","+0.41","16,248",
"105/06/14","76,657,500","1,435,113,576","18.83","18.83","18.65","18.66","-0.11","11,027",
"105/06/15","98,623,909","1,836,494,609","18.65","18.76","18.56","18.61","-0.05","11,271",
"105/06/16","92,885,957","1,746,981,249","18.64","18.90","18.63","18.87","+0.26","13,949",
"105/06/17","118,378,279","2,201,780,237","18.71","18.71","18.54","18.62","-0.25","16,865",
"105/06/20","80,799,700","1,490,707,497","18.45","18.51","18.42","18.45","-0.17","10,858",
"105/06/21","118,718,538","2,181,839,483","18.47","18.50","18.33","18.36","-0.09","13,823",
"105/06/22","76,355,333","1,402,361,686","18.38","18.44","18.32","18.36"," 0.00","6,373",
"105/06/23","59,862,446","1,100,337,450","18.37","18.43","18.34","18.37","+0.01","5,836",
"105/06/24","325,410,481","6,103,186,679","18.37","19.09","18.31","18.93","+0.56","39,488",
"105/06/27","97,157,198","1,824,119,560","18.90","18.90","18.69","18.70","-0.23","12,778",
"105/06/28","73,114,686","1,365,801,626","18.84","18.85","18.59","18.60","-0.10","10,797",
"105/06/29","118,470,907","2,185,680,086","18.56","18.57","18.37","18.45","-0.15","16,659",
"105/06/30","206,292,498","3,780,609,551","18.38","18.46","18.27","18.31","-0.14","28,637",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

