"106年12月 00632R 元大台灣50反1    各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","69,845,656","928,610,901","13.27","13.40","13.20","13.26","-0.02","8,961",
"106/12/04","25,128,156","332,778,024","13.23","13.32","13.20","13.20","-0.06","3,020",
"106/12/05","50,323,613","669,209,318","13.30","13.35","13.24","13.33","+0.13","4,678",
"106/12/06","93,768,744","1,260,941,257","13.35","13.54","13.33","13.53","+0.20","11,332",
"106/12/07","92,876,571","1,258,494,254","13.52","13.60","13.48","13.55","+0.02","7,727",
"106/12/08","58,746,754","795,132,416","13.50","13.59","13.49","13.52","-0.03","5,769",
"106/12/11","45,195,252","606,710,661","13.46","13.46","13.39","13.40","-0.12","4,766",
"106/12/12","34,657,165","466,756,681","13.41","13.52","13.40","13.47","+0.07","3,584",
"106/12/13","21,939,495","295,235,150","13.48","13.49","13.43","13.46","-0.01","2,926",
"106/12/14","56,442,959","752,616,706","13.37","13.39","13.29","13.34","-0.12","5,751",
"106/12/15","40,817,791","549,260,689","13.38","13.50","13.38","13.44","+0.10","6,539",
"106/12/18","19,978,805","267,949,223","13.41","13.46","13.38","13.39","-0.05","3,015",
"106/12/19","20,013,300","268,406,306","13.37","13.47","13.35","13.45","+0.06","3,299",
"106/12/20","20,845,402","279,354,471","13.43","13.45","13.38","13.38","-0.07","3,910",
"106/12/21","25,361,874","339,074,387","13.38","13.40","13.33","13.38"," 0.00","2,046",
"106/12/22","19,315,171","258,347,041","13.37","13.42","13.35","13.35","-0.03","3,594",
"106/12/25","19,595,068","261,152,663","13.32","13.35","13.31","13.33","-0.02","2,978",
"106/12/26","51,404,714","691,097,495","13.34","13.49","13.33","13.49","+0.16","4,456",
"106/12/27","26,926,373","361,656,847","13.50","13.50","13.40","13.40","-0.09","3,117",
"106/12/28","39,263,851","522,317,991","13.35","13.35","13.27","13.28","-0.12","6,323",
"106/12/29","49,392,226","652,658,527","13.27","13.27","13.19","13.19","-0.09","7,409",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

