"9211る 1101 猟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/11/03","29,143,461","497,177,289","17.10","17.30","16.80","17.30","+0.20","3,981",
" 92/11/04","23,238,097","401,313,353","17.40","17.50","17.00","17.00","-0.30","3,387",
" 92/11/05","73,984,729","1,309,034,169","17.20","18.00","17.20","17.80","+0.80","7,781",
" 92/11/06","54,266,142","944,008,017","17.70","17.90","16.60","16.80","-1.00","6,971",
" 92/11/07","30,048,900","499,778,181","16.90","16.90","16.30","16.80"," 0.00","4,441",
" 92/11/10","31,180,155","530,451,001","16.80","17.30","16.70","16.70","-0.10","4,333",
" 92/11/11","34,119,917","557,811,194","16.70","16.70","16.10","16.20","-0.50","4,582",
" 92/11/12","38,685,392","611,261,743","16.20","16.40","15.30","15.60","-0.60","5,890",
" 92/11/13","24,920,615","388,840,015","15.80","15.80","15.40","15.60"," 0.00","3,584",
" 92/11/14","16,835,588","263,507,677","15.50","15.80","15.50","15.60"," 0.00","2,671",
" 92/11/17","20,631,188","325,347,388","15.60","16.00","15.60","15.70","+0.10","3,194",
" 92/11/18","20,791,827","318,129,316","15.70","15.90","15.00","15.20","-0.50","3,226",
" 92/11/19","25,639,465","389,152,288","15.20","15.40","14.90","15.20"," 0.00","3,757",
" 92/11/20","24,179,364","375,068,975","15.40","15.70","15.30","15.40","+0.20","3,862",
" 92/11/21","13,950,342","215,112,606","15.40","15.60","15.20","15.60","+0.20","2,518",
" 92/11/24","19,168,842","302,263,165","15.70","15.90","15.60","15.70","+0.10","3,139",
" 92/11/25","16,196,423","257,491,568","16.00","16.10","15.80","15.80","+0.10","2,561",
" 92/11/26","8,798,290","138,084,653","15.90","16.00","15.50","15.60","-0.20","1,671",
" 92/11/27","21,733,730","329,029,298","15.60","15.60","14.95","15.00","-0.60","3,807",
" 92/11/28","17,503,576","265,214,284","15.20","15.40","15.00","15.10","+0.10","2,738",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

