"107年07月 1101 台泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","20,513,541","857,508,072","42.40","42.75","41.50","41.85","-0.50","5,867",
"107/07/03","34,388,265","1,453,312,764","43.25","43.25","41.90","42.75","+0.90","6,952",
"107/07/04","25,563,782","1,075,916,194","42.50","42.50","41.60","42.00","-0.75","7,673",
"107/07/05","18,790,046","791,116,269","42.00","42.40","41.80","42.05","+0.05","5,623",
"107/07/06","26,209,289","1,091,914,907","41.90","41.95","41.10","41.60","-0.45","5,924",
"107/07/09","26,644,457","1,123,904,720","41.75","42.95","41.60","42.75","+1.15","7,341",
"107/07/10","24,120,841","1,034,485,079","43.00","43.30","42.50","43.25","+0.50","6,096",
"107/07/11","22,068,439","937,227,715","42.60","42.60","41.90","42.15","-1.10","5,989",
"107/07/12","18,872,958","802,766,746","42.15","43.10","41.95","42.70","+0.55","5,304",
"107/07/13","24,671,854","1,068,270,337","43.35","43.75","42.80","43.50","+0.80","6,853",
"107/07/16","17,398,391","747,174,218","43.50","43.50","42.40","42.50","-1.00","5,077",
"107/07/17","16,189,546","685,020,315","42.50","42.80","42.10","42.15","-0.35","5,110",
"107/07/18","19,716,943","830,361,922","42.60","42.75","42.15","42.25","+0.10","7,234",
"107/07/19","22,569,735","961,288,315","42.30","42.90","42.25","42.75","+0.50","5,315",
"107/07/20","20,815,274","885,650,766","42.80","43.05","42.10","42.30","-0.45","4,637",
"107/07/23","22,008,374","934,482,174","42.45","42.80","42.20","42.65","+0.35","4,150",
"107/07/24","53,665,765","2,378,763,391","42.80","45.70","42.65","45.50","+2.85","15,057",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

