"9606る 1102 ㄈ猟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/06/01","5,588,255","213,128,117","37.70","39.10","37.50","38.60","+1.70","1,235",
" 96/06/04","3,373,886","130,997,195","39.80","39.80","38.10","38.60"," 0.00","697",
" 96/06/05","4,976,359","187,400,242","38.20","38.20","37.45","37.45","-1.15","1,204",
" 96/06/06","4,849,996","180,284,630","37.45","37.45","36.90","37.40","-0.05","1,070",
" 96/06/07","2,539,423","94,207,351","37.00","37.40","36.75","37.20","-0.20","670",
" 96/06/08","6,023,143","224,869,116","37.20","37.50","37.20","37.30","+0.10","835",
" 96/06/11","7,544,908","287,091,961","38.50","38.50","37.60","37.85","+0.55","1,251",
" 96/06/12","8,413,535","323,891,954","37.85","39.15","37.85","38.50","+0.65","1,664",
" 96/06/13","6,037,737","234,072,337","38.90","39.15","38.15","38.15","-0.35","842",
" 96/06/14","3,286,994","125,146,157","38.15","38.50","37.90","38.00","-0.15","685",
" 96/06/15","17,190,981","688,132,933","38.10","40.65","38.05","40.65","+2.65","2,394",
" 96/06/20","11,186,138","466,712,122","41.05","42.80","41.05","42.80","+2.15","1,773",
" 96/06/21","17,288,665","751,846,493","42.70","45.10","41.80","44.80","+2.00","3,347",
" 96/06/22","5,516,272","242,518,736","44.70","44.80","42.90","43.40","-1.40","1,498",
" 96/06/23","1,212,372","52,275,393","43.30","43.40","42.60","43.00","-0.40","469",
" 96/06/25","7,494,815","324,820,191","43.00","44.50","42.90","43.00"," 0.00","1,999",
" 96/06/26","7,683,994","331,130,197","43.35","43.45","42.80","43.00"," 0.00","1,531",
" 96/06/27","5,206,011","220,207,237","42.00","42.90","42.00","42.25","-0.75","1,657",
" 96/06/28","8,197,672","353,252,446","42.90","43.25","42.60","43.15","+0.90","1,257",
" 96/06/29","5,905,949","255,694,370","43.30","43.55","43.00","43.30","+0.15","1,126",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

