"106年05月 1102 亞泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/05/02","2,583,798","77,178,592","29.75","30.25","29.45","29.80"," 0.00","1,465",
"106/05/03","4,171,749","124,348,706","29.80","29.95","29.70","29.80"," 0.00","864",
"106/05/04","1,547,827","46,604,460","29.95","30.20","29.85","30.15","+0.35","837",
"106/05/05","1,666,085","49,742,026","30.05","30.15","29.75","29.90","-0.25","522",
"106/05/08","2,352,595","68,802,639","29.95","29.95","29.05","29.25","-0.65","1,187",
"106/05/09","2,161,239","62,152,242","29.00","29.15","28.60","28.70","-0.55","1,374",
"106/05/10","1,689,301","48,835,807","28.70","29.15","28.70","28.90","+0.20","967",
"106/05/11","1,606,318","46,252,709","28.90","29.15","28.65","28.70","-0.20","988",
"106/05/12","1,956,144","55,260,700","28.70","28.95","28.10","28.15","-0.55","1,253",
"106/05/15","2,439,730","68,385,540","28.15","28.25","27.85","28.00","-0.15","1,447",
"106/05/16","4,535,515","126,149,420","28.00","28.15","27.55","28.15","+0.15","2,087",
"106/05/17","2,183,068","60,809,104","28.15","28.15","27.70","27.85","-0.30","1,101",
"106/05/18","1,608,883","44,428,954","27.70","27.80","27.55","27.55","-0.30","947",
"106/05/19","951,251","26,361,204","27.60","27.80","27.60","27.75","+0.20","598",
"106/05/22","2,631,397","72,174,457","27.70","27.75","27.30","27.30","-0.45","1,693",
"106/05/23","2,825,673","77,784,399","27.25","27.80","27.25","27.80","+0.50","1,498",
"106/05/24","2,156,552","59,506,670","27.90","27.90","27.40","27.50","-0.30","1,402",
"106/05/25","2,463,310","68,545,782","27.50","28.00","27.50","28.00","+0.50","1,687",
"106/05/26","3,430,094","95,648,360","28.20","28.20","27.60","27.80","-0.20","1,773",
"106/05/31","10,323,231","287,311,061","27.85","27.90","27.60","27.85","+0.05","1,591",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

