"9406る 1210 Θ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/06/01","849,442","7,809,071","9.08","9.28","9.08","9.26","+0.16","208",
" 94/06/02","2,661,029","25,151,396","9.40","9.58","9.30","9.46","+0.20","380",
" 94/06/03","927,089","8,810,595","9.50","9.57","9.40","9.57","+0.11","186",
" 94/06/06","1,100,146","10,506,869","9.57","9.58","9.50","9.55","-0.02","207",
" 94/06/07","509,847","4,829,231","9.55","9.55","9.41","9.42","-0.13","182",
" 94/06/08","2,491,137","24,063,851","9.42","9.95","9.42","9.70","+0.28","389",
" 94/06/09","1,509,019","14,749,781","9.71","9.88","9.70","9.75","+0.05","319",
" 94/06/10","905,060","8,861,821","9.82","9.87","9.75","9.76","+0.01","213",
" 94/06/13","1,126,109","11,043,018","9.89","9.89","9.60","9.68","-0.08","232",
" 94/06/14","698,066","6,729,095","9.68","9.75","9.50","9.50","-0.18","171",
" 94/06/15","720,716","6,883,703","9.51","9.64","9.51","9.52","+0.02","174",
" 94/06/16","1,135,264","10,740,167","9.60","9.60","9.34","9.54","+0.02","208",
" 94/06/17","549,386","5,217,705","9.57","9.57","9.42","9.50","-0.04","145",
" 94/06/20","468,543","4,439,934","9.49","9.50","9.45","9.47","-0.03","135",
" 94/06/21","885,290","8,403,252","9.46","9.57","9.46","9.55","+0.08","186",
" 94/06/22","3,183,443","31,412,294","9.60","9.95","9.60","9.83","+0.28","540",
" 94/06/23","1,504,581","14,799,749","9.83","9.88","9.80","9.83"," 0.00","380",
" 94/06/24","1,013,875","9,970,893","9.80","9.93","9.77","9.80","-0.03","229",
" 94/06/27","5,613,439","57,172,547","9.80","10.45","9.80","10.00","+0.20","803",
" 94/06/28","4,442,140","45,349,772","10.05","10.35","10.05","10.05","+0.05","529",
" 94/06/29","1,271,194","12,829,272","10.15","10.20","10.00","10.00","-0.05","235",
" 94/06/30","763,686","7,636,186","10.00","10.05","9.98","9.98","-0.02","147",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

