"106年11月 1210 大成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","1,465,454","50,413,689","34.50","34.75","34.20","34.45","+0.15","885",
"106/11/02","2,517,179","87,720,352","34.50","35.25","34.50","34.50","+0.05","1,185",
"106/11/03","852,033","29,430,327","34.55","34.70","34.40","34.55","+0.05","471",
"106/11/06","1,334,196","45,805,578","34.55","34.75","34.20","34.20","-0.35","778",
"106/11/07","1,675,131","58,289,680","34.90","35.00","34.65","34.80","+0.60","983",
"106/11/08","4,703,975","165,718,396","34.80","35.70","34.70","35.30","+0.50","2,544",
"106/11/09","3,302,420","116,374,595","35.65","35.85","34.30","34.85","-0.45","1,765",
"106/11/10","1,634,933","56,723,646","34.85","35.05","34.30","34.95","+0.10","901",
"106/11/13","955,025","33,079,903","34.60","34.95","34.45","34.50","-0.45","615",
"106/11/14","1,259,844","43,367,317","34.50","34.85","34.25","34.40","-0.10","758",
"106/11/15","1,244,230","42,915,863","34.40","34.80","34.20","34.80","+0.40","946",
"106/11/16","954,273","32,968,302","34.70","34.70","34.40","34.50","-0.30","556",
"106/11/17","869,764","29,965,879","34.60","34.70","34.30","34.35","-0.15","562",
"106/11/20","821,984","28,346,492","34.40","34.70","34.35","34.40","+0.05","506",
"106/11/21","753,651","25,993,752","34.40","34.70","34.40","34.50","+0.10","447",
"106/11/22","1,579,057","54,688,611","34.60","34.85","34.45","34.65","+0.15","842",
"106/11/23","1,930,158","67,535,063","34.65","35.20","34.65","35.05","+0.40","1,004",
"106/11/24","1,038,261","36,100,699","35.05","35.05","34.55","34.75","-0.30","528",
"106/11/27","900,429","31,139,724","34.80","34.80","34.40","34.40","-0.35","495",
"106/11/28","756,321","26,027,485","34.40","34.75","34.30","34.30","-0.10","418",
"106/11/29","1,364,590","46,667,142","34.50","34.60","33.90","34.00","-0.30","703",
"106/11/30","2,307,376","77,650,493","34.00","34.05","33.40","33.60","-0.40","1,080",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

