"9509る 1216 参             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/09/01","4,852,601","122,680,464","25.20","25.50","25.15","25.35","+0.25","1,188",
" 95/09/04","10,662,176","275,828,676","25.75","26.25","25.40","26.10","+0.75","2,193",
" 95/09/05","12,532,444","334,193,394","26.20","27.20","26.00","26.10"," 0.00","3,078",
" 95/09/06","5,633,361","146,103,056","25.80","26.20","25.70","25.80","-0.30","1,219",
" 95/09/07","2,621,167","67,882,466","25.60","26.15","25.60","26.05","+0.25","867",
" 95/09/08","5,924,082","155,992,191","25.95","26.60","25.80","26.50","+0.45","1,659",
" 95/09/11","9,713,105","259,879,708","26.40","27.10","26.05","26.05","-0.45","2,350",
" 95/09/12","9,331,179","239,046,689","26.20","26.20","25.20","25.20","-0.85","2,347",
" 95/09/13","15,696,452","407,722,644","26.30","26.55","25.45","25.90","+0.70","3,874",
" 95/09/14","6,398,146","165,578,974","26.00","26.25","25.55","25.95","+0.05","1,882",
" 95/09/15","4,273,881","111,466,267","25.90","26.30","25.60","26.25","+0.30","1,289",
" 95/09/18","17,548,087","481,889,592","26.80","28.05","26.60","27.70","+1.45","4,010",
" 95/09/19","29,796,533","857,439,184","27.80","29.20","27.50","28.95","+1.25","6,714",
" 95/09/20","16,748,772","483,770,879","28.80","29.20","28.55","28.95"," 0.00","4,027",
" 95/09/21","36,793,195","1,112,068,553","29.20","30.95","29.05","30.40","+1.45","7,842",
" 95/09/22","21,274,761","645,730,347","30.30","31.10","29.70","29.70","-0.70","4,969",
" 95/09/25","21,738,499","650,058,198","29.70","30.35","29.60","29.85","+0.15","4,710",
" 95/09/26","11,689,212","344,093,930","29.85","29.95","29.25","29.50","-0.35","2,788",
" 95/09/27","17,797,558","525,413,966","29.75","29.80","29.30","29.40","-0.10","3,321",
" 95/09/28","11,778,652","340,573,132","29.40","29.40","28.65","28.80","-0.60","2,648",
" 95/09/29","12,417,851","358,916,029","28.70","29.20","28.70","29.10","+0.30","2,891",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

