"106年04月 1216 統一             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","17,919,938","1,031,536,623","56.50","58.20","56.50","58.20","+1.30","7,219",
"106/04/06","11,966,819","691,904,749","58.20","58.30","57.50","57.70","-0.50","3,563",
"106/04/07","12,350,319","698,931,661","57.20","57.50","56.10","56.20","-1.50","5,888",
"106/04/10","5,741,575","322,498,600","56.40","56.70","56.00","56.00","-0.20","2,817",
"106/04/11","8,631,776","478,424,358","55.50","55.90","55.30","55.30","-0.70","3,484",
"106/04/12","8,263,867","463,241,952","55.40","56.30","55.40","56.10","+0.80","3,032",
"106/04/13","3,304,332","185,454,292","56.30","56.40","55.80","56.00","-0.10","1,270",
"106/04/14","1,687,891","94,204,572","56.00","56.00","55.50","55.80","-0.20","953",
"106/04/17","4,851,234","271,979,104","55.80","56.40","55.60","56.30","+0.50","2,567",
"106/04/18","3,646,612","203,723,281","56.30","56.30","55.70","55.90","-0.40","2,028",
"106/04/19","8,808,228","485,806,742","55.50","55.80","55.00","55.00","-0.90","3,473",
"106/04/20","9,674,789","530,962,330","54.70","55.10","54.50","55.10","+0.10","3,802",
"106/04/21","4,652,723","257,876,041","55.30","55.70","55.10","55.70","+0.60","1,925",
"106/04/24","8,025,767","448,466,450","56.00","56.10","55.70","55.90","+0.20","1,321",
"106/04/25","10,081,306","568,033,476","56.10","56.50","56.00","56.50","+0.60","3,221",
"106/04/26","7,174,467","404,841,365","56.50","56.70","56.20","56.30","-0.20","2,672",
"106/04/27","3,900,978","218,855,944","56.30","56.30","55.90","56.30"," 0.00","2,060",
"106/04/28","3,982,039","222,569,754","56.00","56.30","55.70","55.70","-0.60","1,848",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

