"10207る 1227 ㄎ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/07/01","843,670","80,135,250","94.90","95.50","93.40","95.00","+0.20","668",
"102/07/02","1,544,856","150,177,632","96.00","98.30","95.60","97.10","+2.10","1,121",
"102/07/03","844,426","81,876,240","96.90","97.70","96.30","97.70","+0.60","668",
"102/07/04","1,604,539","157,957,977","97.70","99.00","97.40","99.00","+1.30","1,190",
"102/07/05","1,813,826","180,606,906","99.00","100.00","99.00","99.60","+0.60","1,206",
"102/07/08","965,483","95,670,417","99.70","100.00","97.90","99.00","-0.60","682",
"102/07/09","1,800,265","180,960,598","99.00","102.00","99.00","99.80","+0.80","1,239",
"102/07/10","1,331,577","133,631,652","99.90","102.00","99.80","100.00","+0.20","911",
"102/07/11","1,880,007","189,023,700","101.50","101.50","99.90","101.00","+1.00","1,305",
"102/07/12","3,240,000","329,138,000","101.00","102.00","100.50","102.00","+1.00","1,034",
"102/07/15","2,675,722","276,298,180","102.00","104.00","101.50","104.00","+2.00","1,779",
"102/07/16","4,414,584","459,611,830","105.00","105.50","103.00","103.00","-1.00","2,300",
"102/07/17","8,388,378","756,803,096","87.90","92.30","87.90","91.20","X0.00","4,676",
"102/07/18","2,393,215","221,284,369","92.00","93.10","92.00","92.50","+1.30","1,670",
"102/07/19","2,826,699","261,348,207","93.00","94.00","91.20","92.50"," 0.00","1,876",
"102/07/22","1,979,404","182,531,463","92.50","93.90","91.50","91.70","-0.80","1,652",
"102/07/23","1,832,430","167,194,236","92.00","92.30","90.80","91.00","-0.70","1,371",
"102/07/24","1,583,033","144,922,224","91.90","92.50","91.00","91.30","+0.30","1,113",
"102/07/25","1,465,227","134,064,764","91.00","92.00","91.00","91.40","+0.10","955",
"102/07/26","1,735,866","157,133,106","92.00","92.00","89.60","90.20","-1.20","1,136",
"102/07/29","809,610","73,384,739","91.00","91.10","90.30","90.60","+0.40","561",
"102/07/30","667,978","60,987,076","91.00","91.80","90.60","91.30","+0.70","517",
"102/07/31","786,113","71,573,383","92.00","92.00","90.70","90.70","-0.60","555",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

