"105年09月 1227 佳格             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","633,753","48,938,505","77.50","77.90","77.00","77.20","-1.10","473",
"105/09/02","741,994","57,349,432","77.00","77.70","77.00","77.20"," 0.00","498",
"105/09/05","922,223","72,326,595","78.00","78.60","77.90","78.50","+1.30","722",
"105/09/06","885,017","69,905,930","78.80","79.20","78.80","79.10","+0.60","590",
"105/09/07","1,728,419","137,819,520","79.10","80.20","79.00","80.00","+0.90","1,072",
"105/09/08","711,081","56,759,862","80.00","80.10","79.40","80.10","+0.10","553",
"105/09/09","767,208","60,841,272","79.40","79.60","79.00","79.50","-0.60","667",
"105/09/10","382,397","30,065,439","78.60","78.90","78.40","78.40","-1.10","264",
"105/09/12","1,724,481","132,912,372","78.00","78.00","76.70","76.80","-1.60","1,194",
"105/09/13","1,087,179","84,316,418","77.10","77.90","76.80","77.80","+1.00","941",
"105/09/14","1,171,760","90,962,080","77.20","78.30","77.00","78.00","+0.20","960",
"105/09/19","945,881","74,495,221","78.00","79.10","78.00","79.00","+1.00","840",
"105/09/20","432,698","34,200,662","79.00","79.20","78.70","79.00"," 0.00","403",
"105/09/21","819,388","65,076,491","79.00","80.00","78.50","80.00","+1.00","680",
"105/09/22","1,021,715","81,633,700","80.20","80.50","79.50","80.00"," 0.00","735",
"105/09/23","960,542","76,690,683","80.00","80.30","79.60","79.70","-0.30","605",
"105/09/26","1,070,208","85,623,507","79.60","80.50","79.30","80.20","+0.50","989",
"105/09/29","2,472,358","201,373,599","80.30","82.20","79.80","82.00","+1.80","2,007",
"105/09/30","1,874,038","151,834,489","81.00","82.20","80.20","80.30","-1.70","1,278",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

