"99年03月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/03/01","11,354,365","789,886,459","69.50","70.00","68.50","68.80","-0.40","4,072",
" 99/03/02","11,267,261","778,252,585","69.20","69.30","68.40","68.70","-0.10","3,043",
" 99/03/03","7,635,989","527,041,141","68.90","69.50","68.60","69.10","+0.40","2,378",
" 99/03/04","11,204,346","773,774,174","69.20","69.40","68.30","69.40","+0.30","3,275",
" 99/03/05","10,467,388","730,065,194","69.80","70.20","69.20","70.00","+0.60","3,349",
" 99/03/08","5,741,640","402,352,560","70.20","70.40","69.70","70.00"," 0.00","2,035",
" 99/03/09","4,501,461","314,440,691","70.00","70.00","69.70","70.00"," 0.00","1,963",
" 99/03/10","6,194,388","432,859,698","70.00","70.00","69.50","70.00"," 0.00","2,299",
" 99/03/11","3,647,507","254,793,154","70.00","70.20","69.70","69.90","-0.10","1,599",
" 99/03/12","7,811,412","544,994,281","69.90","69.90","69.50","69.90"," 0.00","1,914",
" 99/03/15","8,636,784","603,281,597","70.00","70.30","69.50","69.90"," 0.00","1,779",
" 99/03/16","5,937,330","414,914,520","70.00","70.20","69.50","70.20","+0.30","1,677",
" 99/03/17","12,806,800","900,574,192","70.20","70.70","69.80","70.60","+0.40","4,393",
" 99/03/18","10,926,204","774,908,440","70.70","71.20","70.50","71.00","+0.40","2,794",
" 99/03/19","12,094,895","855,097,922","71.00","71.00","69.90","71.00"," 0.00","2,817",
" 99/03/22","8,255,947","575,596,144","70.00","70.20","69.30","70.20","-0.80","2,812",
" 99/03/23","7,482,391","519,405,749","69.60","70.20","69.00","69.80","-0.40","2,259",
" 99/03/24","8,319,235","578,454,909","69.70","69.80","69.20","69.80"," 0.00","2,400",
" 99/03/25","13,118,707","911,351,706","69.80","69.90","68.50","69.70","-0.10","2,929",
" 99/03/26","12,744,306","891,532,790","69.50","70.80","68.20","70.80","+1.10","4,170",
" 99/03/29","6,706,018","474,318,423","70.80","70.90","70.50","70.50","-0.30","2,240",
" 99/03/30","6,857,841","484,115,762","70.80","70.90","70.40","70.70","+0.20","1,976",
" 99/03/31","6,013,618","423,894,198","71.00","71.00","70.00","70.00","-0.70","2,006",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

