"9311る 1303 玭ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 93/11/01","10,147,327","470,015,935","46.50","47.00","45.80","46.50"," 0.00","1,551",
" 93/11/02","7,460,243","346,052,160","46.40","46.70","46.10","46.70","+0.20","1,493",
" 93/11/03","10,618,724","497,621,793","46.70","47.50","46.40","47.50","+0.80","2,367",
" 93/11/04","5,558,493","262,636,390","47.30","47.50","47.00","47.50"," 0.00","1,392",
" 93/11/05","13,128,028","629,176,426","47.70","48.20","47.70","48.20","+0.70","2,375",
" 93/11/08","8,272,038","398,383,852","48.20","48.40","47.90","48.40","+0.20","1,528",
" 93/11/09","6,892,202","330,399,468","48.40","48.40","47.70","48.10","-0.30","1,397",
" 93/11/10","6,853,297","329,665,465","47.90","48.40","47.80","48.10"," 0.00","1,433",
" 93/11/11","4,565,513","219,491,938","47.80","48.20","47.80","48.10"," 0.00","968",
" 93/11/12","4,977,196","239,568,435","48.10","48.30","48.00","48.20","+0.10","1,106",
" 93/11/15","7,015,146","337,975,146","48.20","48.50","47.70","48.30","+0.10","1,123",
" 93/11/16","4,141,863","199,608,060","48.30","48.30","47.90","48.30"," 0.00","909",
" 93/11/17","12,689,731","614,872,315","48.30","48.70","48.00","48.70","+0.40","1,741",
" 93/11/18","6,868,769","334,146,544","48.70","48.80","48.40","48.70"," 0.00","1,321",
" 93/11/19","6,889,147","333,328,358","48.70","48.70","48.20","48.30","-0.40","1,199",
" 93/11/22","9,598,922","453,660,749","48.00","48.20","46.60","46.60","-1.70","2,687",
" 93/11/23","8,078,258","377,199,394","46.70","46.90","46.50","46.90","+0.30","2,166",
" 93/11/24","6,159,625","289,501,413","46.80","47.10","46.80","47.00","+0.10","1,467",
" 93/11/25","4,732,647","221,012,277","47.00","47.20","46.50","46.50","-0.50","1,043",
" 93/11/26","7,871,763","366,335,480","46.60","47.00","46.00","46.00","-0.50","1,772",
" 93/11/29","14,543,909","668,500,067","46.00","46.30","45.50","46.00"," 0.00","2,078",
" 93/11/30","20,032,954","920,124,657","46.00","46.30","45.50","46.30","+0.30","2,254",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

