"108年02月 1303 南亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","9,057,117","684,907,018","77.40","77.40","74.50","74.50","-1.80","5,283",
"108/02/12","4,512,339","338,461,272","74.50","75.30","74.50","75.00","+0.50","2,663",
"108/02/13","6,130,179","459,820,746","75.10","75.50","74.80","74.90","-0.10","3,142",
"108/02/14","3,988,765","298,701,675","74.60","75.30","74.60","74.60","-0.30","2,244",
"108/02/15","5,074,930","378,527,250","74.60","74.90","74.50","74.50","-0.10","2,958",
"108/02/18","3,837,533","287,059,438","74.70","75.10","74.50","74.80","+0.30","2,325",
"108/02/19","3,147,685","236,379,829","75.10","75.30","74.90","75.10","+0.30","1,657",
"108/02/20","5,081,473","382,335,895","75.00","75.40","75.00","75.40","+0.30","2,458",
"108/02/21","4,299,539","325,699,086","75.30","76.10","75.20","76.10","+0.70","2,384",
"108/02/22","6,845,969","518,588,714","75.50","76.20","75.30","76.20","+0.10","3,239",
"108/02/25","5,493,594","419,188,820","76.30","76.60","76.10","76.60","+0.40","2,865",
"108/02/26","6,898,983","528,282,972","76.60","77.10","76.10","77.10","+0.50","3,080",
"108/02/27","8,053,883","618,547,964","76.80","76.90","76.50","76.90","-0.20","3,030",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

