"9309る 1314 いホて           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 93/09/01","13,225,120","67,642,816","5.05","5.20","5.05","5.20","+0.20","1,526",
" 93/09/02","13,669,571","71,081,057","5.20","5.30","5.10","5.20"," 0.00","1,508",
" 93/09/03","28,353,000","149,783,587","5.25","5.45","5.15","5.20"," 0.00","2,598",
" 93/09/06","14,129,099","72,337,105","5.10","5.20","5.05","5.10","-0.10","1,197",
" 93/09/07","13,561,009","71,015,423","5.20","5.30","5.15","5.30","+0.20","1,462",
" 93/09/08","44,522,500","248,376,400","5.35","5.65","5.30","5.65","+0.35","3,640",
" 93/09/09","53,732,398","307,443,245","5.75","5.90","5.55","5.90","+0.25","4,201",
" 93/09/10","48,460,242","283,434,646","5.80","6.00","5.65","5.95","+0.05","3,704",
" 93/09/13","47,960,893","291,127,549","6.00","6.20","5.90","6.10","+0.15","4,289",
" 93/09/14","89,884,549","577,007,306","6.15","6.50","6.15","6.40","+0.30","7,221",
" 93/09/15","51,768,557","325,988,713","6.30","6.40","6.15","6.40"," 0.00","4,019",
" 93/09/16","19,693,834","124,323,488","6.30","6.40","6.25","6.30","-0.10","2,029",
" 93/09/17","50,221,173","314,755,252","6.30","6.70","6.10","6.40","+0.10","3,990",
" 93/09/20","100,666,020","679,279,354","6.55","6.80","6.55","6.80","+0.40","7,731",
" 93/09/21","94,406,812","659,864,764","6.90","7.20","6.85","7.10","+0.30","8,864",
" 93/09/22","44,490,626","310,725,084","7.10","7.10","6.90","7.00","-0.10","4,784",
" 93/09/23","53,153,989","359,773,457","6.80","6.95","6.60","6.85","-0.15","5,229",
" 93/09/24","47,412,502","318,858,029","6.75","6.90","6.50","6.80","-0.05","4,409",
" 93/09/27","58,927,228","417,657,224","6.85","7.25","6.85","7.10","+0.30","6,408",
" 93/09/29","71,919,296","499,317,671","7.10","7.25","6.65","6.65","-0.45","7,309",
" 93/09/30","35,222,987","236,894,904","6.65","6.85","6.65","6.65"," 0.00","3,849",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

