"107年10月 1314 中石化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/10/01","12,704,091","178,245,074","14.05","14.15","13.95","14.00","+0.05","2,553",
"107/10/02","13,985,031","196,565,684","14.05","14.15","13.95","14.10","+0.10","2,810",
"107/10/03","11,889,660","166,909,788","14.15","14.20","13.90","13.95","-0.15","2,931",
"107/10/04","10,570,344","146,310,521","13.95","13.95","13.75","13.80","-0.15","2,381",
"107/10/05","18,029,690","245,262,763","13.80","13.95","13.35","13.50","-0.30","4,070",
"107/10/08","8,796,211","119,479,747","13.45","13.70","13.45","13.55","+0.05","2,058",
"107/10/09","10,624,431","144,397,401","13.65","13.70","13.50","13.65","+0.10","1,906",
"107/10/11","36,264,255","461,017,843","13.00","13.05","12.50","12.55","-1.10","7,041",
"107/10/12","20,750,838","264,502,144","12.55","13.00","12.35","12.90","+0.35","4,103",
"107/10/15","8,416,093","107,340,530","12.75","12.90","12.70","12.75","-0.15","2,367",
"107/10/16","10,888,353","139,001,906","12.70","12.90","12.70","12.70","-0.05","2,518",
"107/10/17","10,310,150","131,136,634","12.85","12.90","12.60","12.60","-0.10","2,319",
"107/10/18","13,516,121","168,723,056","12.60","12.75","12.35","12.35","-0.25","2,735",
"107/10/19","23,307,127","276,719,801","12.00","12.05","11.60","12.00","-0.35","5,439",
"107/10/22","9,458,054","114,322,550","11.90","12.20","11.90","12.15","+0.15","2,182",
"107/10/23","12,619,305","150,011,518","12.10","12.10","11.75","11.75","-0.40","2,853",
"107/10/24","12,223,278","143,284,254","11.85","11.90","11.60","11.65","-0.10","2,322",
"107/10/25","37,191,745","413,646,596","11.30","11.40","10.85","10.90","-0.75","5,311",
"107/10/26","21,222,002","234,865,612","11.20","11.30","10.85","11.15","+0.25","3,881",
"107/10/29","10,911,842","121,454,125","11.25","11.30","11.00","11.10","-0.05","4,143",
"107/10/30","7,903,892","87,602,976","11.10","11.20","10.95","11.20","+0.10","2,622",
"107/10/31","12,851,298","145,920,267","11.30","11.45","11.30","11.30","+0.10","2,951",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

