"99年03月 1319 東陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/03/01","1,677,394","86,018,012","51.00","51.60","50.30","51.30","+1.20","784",
" 99/03/02","4,198,721","218,265,971","51.70","53.20","51.10","51.30"," 0.00","1,770",
" 99/03/03","2,584,378","134,676,156","51.90","52.80","51.10","52.00","+0.70","1,078",
" 99/03/04","3,309,872","174,621,116","52.00","53.20","52.00","53.00","+1.00","1,597",
" 99/03/05","1,599,200","84,353,339","53.90","53.90","52.00","52.40","-0.60","845",
" 99/03/08","1,414,899","74,839,347","53.00","53.30","52.50","53.00","+0.60","884",
" 99/03/09","2,555,493","132,977,780","53.50","53.50","51.50","52.00","-1.00","1,292",
" 99/03/10","1,810,525","92,931,535","52.00","52.00","51.00","51.50","-0.50","1,131",
" 99/03/11","2,017,476","106,220,826","53.20","53.20","52.30","52.30","+0.80","1,087",
" 99/03/12","2,115,300","112,076,054","52.80","53.20","52.40","53.20","+0.90","1,116",
" 99/03/15","1,454,056","77,094,741","53.30","53.40","52.60","52.60","-0.60","649",
" 99/03/16","1,752,746","91,408,992","52.80","53.00","51.90","52.10","-0.50","1,103",
" 99/03/17","3,594,217","191,911,347","52.80","54.20","52.40","53.70","+1.60","1,440",
" 99/03/18","12,776,294","722,916,251","54.20","57.40","54.00","57.40","+3.70","4,533",
" 99/03/19","4,772,061","273,455,400","58.00","58.00","56.70","57.50","+0.10","1,782",
" 99/03/22","2,954,120","171,098,219","57.50","58.40","57.00","57.70","+0.20","1,437",
" 99/03/23","2,650,625","152,702,167","58.00","58.20","57.10","57.70"," 0.00","1,080",
" 99/03/24","5,415,930","320,308,863","58.00","59.60","57.90","59.10","+1.40","2,892",
" 99/03/25","2,352,190","136,581,831","59.10","59.30","57.40","58.30","-0.80","1,217",
" 99/03/26","2,544,641","145,926,393","58.60","58.60","56.70","57.10","-1.20","1,137",
" 99/03/29","1,417,297","81,954,232","57.70","58.30","57.40","57.70","+0.60","625",
" 99/03/30","2,414,495","140,908,847","58.20","58.80","57.70","58.30","+0.60","1,128",
" 99/03/31","3,968,993","236,510,068","59.00","60.50","58.80","58.90","+0.60","1,895",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

