"9010る 1402 环狥穝           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 90/10/02","6,226,292","62,818,960","10.50","10.50","9.85","9.90","-0.60","1,127",
" 90/10/03","5,508,742","55,215,458","10.00","10.20","9.90","9.95","+0.05","1,278",
" 90/10/04","13,681,483","138,363,458","10.40","10.50","9.80","9.80","-0.15","2,219",
" 90/10/05","11,161,320","107,980,725","9.65","9.85","9.40","9.80"," 0.00","2,012",
" 90/10/08","4,823,404","45,506,552","9.40","9.65","9.30","9.40","-0.40","917",
" 90/10/09","18,934,684","170,591,512","9.40","9.50","8.80","9.05","-0.35","2,637",
" 90/10/11","25,472,039","237,216,051","9.15","9.55","9.05","9.40","+0.35","3,595",
" 90/10/12","15,926,549","150,481,681","9.65","9.70","9.20","9.20","-0.20","2,464",
" 90/10/15","11,002,923","98,199,815","9.15","9.15","8.80","8.85","-0.35","1,738",
" 90/10/16","9,720,645","86,860,115","8.80","9.10","8.80","9.00","+0.15","1,903",
" 90/10/17","14,274,249","130,549,331","9.00","9.30","9.00","9.05","+0.05","2,661",
" 90/10/18","14,962,052","130,338,068","8.95","8.95","8.60","8.70","-0.35","2,440",
" 90/10/19","27,300,813","247,469,357","8.65","9.30","8.60","9.15","+0.45","3,688",
" 90/10/22","30,266,398","289,810,694","9.30","9.75","9.25","9.75","+0.60","3,665",
" 90/10/23","53,217,361","547,126,921","10.20","10.40","10.10","10.25","+0.50","6,283",
" 90/10/24","20,114,935","206,231,814","10.30","10.45","10.05","10.30","+0.05","2,997",
" 90/10/25","25,914,091","275,203,903","10.30","10.80","10.30","10.65","+0.35","3,601",
" 90/10/26","25,726,409","281,374,495","10.90","11.20","10.55","10.60","-0.05","4,229",
" 90/10/29","23,314,979","239,999,143","10.60","10.60","10.10","10.45","-0.15","3,360",
" 90/10/30","13,016,788","131,740,816","10.10","10.20","10.00","10.00","-0.45","1,899",
" 90/10/31","15,219,557","153,332,862","10.10","10.20","10.00","10.00"," 0.00","2,112",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

