"106年12月 1402 遠東新           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","12,925,174","329,772,814","25.55","25.65","25.30","25.45","-0.10","1,635",
"106/12/04","4,546,047","116,773,240","25.55","25.90","25.35","25.85","+0.40","1,576",
"106/12/05","5,094,902","130,886,526","25.80","25.90","25.50","25.75","-0.10","2,852",
"106/12/06","3,877,148","98,987,317","25.85","25.85","25.35","25.60","-0.15","1,228",
"106/12/07","4,732,313","119,812,080","25.55","25.55","25.15","25.20","-0.40","2,019",
"106/12/08","5,984,099","149,433,653","25.25","25.30","24.80","24.95","-0.25","2,462",
"106/12/11","4,661,216","118,707,525","25.00","25.70","25.00","25.45","+0.50","2,001",
"106/12/12","3,702,939","93,664,054","25.50","25.55","25.15","25.30","-0.15","1,731",
"106/12/13","2,392,934","60,880,947","25.35","25.55","25.35","25.45","+0.15","1,159",
"106/12/14","9,345,335","241,953,679","25.65","26.15","25.65","25.70","+0.25","3,078",
"106/12/15","6,128,417","156,712,945","25.75","25.85","25.40","25.60","-0.10","1,229",
"106/12/18","2,680,566","68,407,990","25.65","25.65","25.45","25.45","-0.15","1,214",
"106/12/19","2,854,420","72,604,811","25.60","25.70","25.35","25.40","-0.05","1,076",
"106/12/20","4,689,803","120,762,365","25.60","25.85","25.50","25.85","+0.45","2,092",
"106/12/21","4,002,886","103,339,172","25.80","26.00","25.60","25.65","-0.20","1,168",
"106/12/22","4,089,255","105,988,580","25.65","26.05","25.65","26.05","+0.40","1,566",
"106/12/25","2,686,712","69,758,127","26.05","26.05","25.85","26.00","-0.05","1,139",
"106/12/26","2,205,760","56,959,425","25.90","25.95","25.70","25.85","-0.15","1,222",
"106/12/27","1,779,675","46,088,035","25.85","26.05","25.75","25.95","+0.10","605",
"106/12/28","12,281,520","322,564,907","26.00","26.65","25.85","26.30","+0.35","3,397",
"106/12/29","14,732,074","394,940,890","26.60","27.10","26.55","26.80","+0.50","4,342",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

