"103年08月 1434 福懋             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/08/01","542,832","17,761,235","32.25","33.00","32.25","32.85","-0.40","389",
"103/08/04","1,040,194","33,639,021","32.35","32.55","32.10","32.55","-0.30","609",
"103/08/05","3,449,854","107,672,498","32.50","32.50","30.55","31.10","-1.45","2,182",
"103/08/06","1,748,063","53,078,712","31.00","31.10","29.90","30.40","-0.70","1,349",
"103/08/07","1,550,513","47,018,703","30.40","30.90","30.10","30.85","+0.45","925",
"103/08/08","1,166,260","35,976,979","30.80","31.15","30.55","30.55","-0.30","692",
"103/08/11","462,221","14,412,357","31.30","31.45","30.95","31.00","+0.45","314",
"103/08/12","1,057,378","32,483,018","31.00","31.00","30.40","30.95","-0.05","781",
"103/08/13","583,847","17,907,620","30.70","30.75","30.55","30.75","-0.20","367",
"103/08/14","1,289,916","39,297,386","30.50","30.75","30.20","30.20","-0.55","510",
"103/08/15","826,403","25,172,349","30.50","30.70","30.20","30.55","+0.35","393",
"103/08/18","404,079","12,339,602","30.55","30.70","30.45","30.50","-0.05","171",
"103/08/19","577,949","17,940,556","30.60","31.35","30.60","31.35","+0.85","403",
"103/08/20","993,486","31,020,636","31.40","31.50","30.85","31.05","-0.30","726",
"103/08/21","1,004,391","30,958,822","31.05","31.15","30.50","30.65","-0.40","622",
"103/08/22","1,280,026","40,097,461","30.95","31.60","30.75","31.55","+0.90","950",
"103/08/25","407,046","12,812,042","31.40","31.70","31.20","31.45","-0.10","267",
"103/08/26","316,845","9,998,976","31.45","31.65","31.40","31.60","+0.15","253",
"103/08/27","1,488,496","47,461,540","31.60","32.10","31.60","32.00","+0.40","1,155",
"103/08/28","785,575","24,778,024","31.60","32.00","31.40","31.40","-0.60","563",
"103/08/29","1,004,636","31,769,795","31.40","31.75","31.20","31.75","+0.35","701",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

