"10104る 1503 筿             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/04/02","115,062","3,718,393","32.50","32.50","32.25","32.25","-0.20","69",
"101/04/03","388,350","12,460,830","32.25","32.30","31.95","32.05","-0.20","149",
"101/04/05","303,098","9,609,075","32.00","32.00","31.40","32.00","-0.05","128",
"101/04/06","217,096","6,936,409","31.90","32.10","31.75","31.95","-0.05","119",
"101/04/09","194,879","6,196,424","31.80","31.95","31.55","31.75","-0.20","91",
"101/04/10","1,193,015","39,227,985","31.70","33.25","31.60","33.10","+1.35","436",
"101/04/11","1,559,579","52,567,052","32.75","34.35","32.75","34.10","+1.00","548",
"101/04/12","1,092,135","37,534,165","34.10","34.90","33.70","34.75","+0.65","455",
"101/04/13","1,094,637","38,466,245","34.75","35.60","34.45","35.60","+0.85","466",
"101/04/16","947,401","33,505,321","35.60","35.90","34.90","35.70","+0.10","457",
"101/04/17","839,088","29,695,307","35.70","35.70","35.05","35.55","-0.15","342",
"101/04/18","681,977","24,132,881","35.55","35.60","35.00","35.55"," 0.00","277",
"101/04/19","589,247","20,790,576","35.00","35.55","34.50","35.55"," 0.00","277",
"101/04/20","320,993","11,331,003","35.50","35.50","35.10","35.40","-0.15","122",
"101/04/23","166,258","5,854,618","34.80","35.40","34.80","35.35","-0.05","121",
"101/04/24","452,906","15,827,770","35.00","35.35","34.60","35.00","-0.35","159",
"101/04/25","633,789","22,158,696","35.00","35.15","34.70","35.00"," 0.00","142",
"101/04/26","146,155","5,106,626","35.00","35.10","34.75","34.80","-0.20","65",
"101/04/27","176,512","6,150,090","34.80","35.00","34.65","34.85","+0.05","90",
"101/04/30","124,425","4,315,372","34.85","34.85","34.60","34.80","-0.05","64",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

