"106年04月 1503 士電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","46,431","1,896,199","40.90","41.00","40.60","40.90"," 0.00","239",
"106/04/06","33,131","1,346,548","40.90","40.90","40.50","40.80","-0.10","151",
"106/04/07","78,770","3,202,262","40.55","40.70","40.50","40.70","-0.10","139",
"106/04/10","134,941","5,468,807","40.70","40.70","40.40","40.45","-0.25","271",
"106/04/11","53,811","2,170,476","40.35","40.45","40.30","40.30","-0.15","235",
"106/04/12","87,463","3,530,163","40.40","40.50","40.25","40.50","+0.20","351",
"106/04/13","54,219","2,185,894","40.20","40.50","40.20","40.45","-0.05","129",
"106/04/14","37,229","1,503,507","40.50","40.50","40.20","40.50","+0.05","69",
"106/04/17","108,222","4,380,937","40.50","40.65","40.30","40.50"," 0.00","109",
"106/04/18","88,594","3,601,680","40.20","40.85","40.20","40.85","+0.35","81",
"106/04/19","93,409","3,803,416","40.80","40.85","40.50","40.50","-0.35","100",
"106/04/20","65,686","2,679,370","40.65","40.90","40.60","40.90","+0.40","49",
"106/04/21","95,016","3,888,144","40.90","41.00","40.85","41.00","+0.10","65",
"106/04/24","3,801","154,641","40.70","40.70","40.70","40.70","-0.30","33",
"106/04/25","7,215","295,347","41.00","41.00","40.75","40.75","+0.05","13",
"106/04/26","11,854","481,866","40.70","40.70","40.60","40.60","-0.15","24",
"106/04/27","44,439","1,794,539","40.45","40.45","40.30","40.40","-0.20","39",
"106/04/28","31,312","1,261,706","40.30","40.50","40.25","40.45","+0.05","36",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

