"9002る 1504 狥じ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 90/02/01","13,644,244","292,787,546","21.40","21.80","21.00","21.00","-0.40","3,487",
" 90/02/02","23,491,030","511,211,956","21.20","22.20","21.20","22.20","+1.20","4,951",
" 90/02/05","19,847,975","437,508,373","22.00","22.70","21.40","22.20"," 0.00","4,172",
" 90/02/06","11,004,971","238,188,221","22.20","22.50","20.80","20.80","-1.40","3,055",
" 90/02/07","7,082,492","143,353,757","20.50","20.60","20.00","20.00","-0.80","1,814",
" 90/02/08","5,530,817","112,031,148","20.00","20.50","20.00","20.40","+0.40","1,332",
" 90/02/09","7,791,804","160,358,474","20.60","20.80","20.20","20.40"," 0.00","1,895",
" 90/02/12","6,729,859","137,201,261","20.40","20.70","20.00","20.00","-0.40","1,792",
" 90/02/13","7,292,260","149,875,145","20.40","20.80","20.30","20.60","+0.60","2,140",
" 90/02/14","10,412,590","216,389,330","20.80","21.20","20.20","20.20","-0.40","2,686",
" 90/02/15","14,288,696","299,957,604","20.50","21.40","20.30","21.30","+1.10","3,246",
" 90/02/16","17,018,303","368,520,375","21.80","22.10","21.10","21.20","-0.10","3,802",
" 90/02/19","5,401,872","111,964,139","20.60","21.00","20.50","20.80","-0.40","1,533",
" 90/02/20","7,922,337","166,425,029","21.10","21.40","20.50","20.60","-0.20","2,110",
" 90/02/21","4,492,000","91,813,885","20.60","20.70","20.20","20.50","-0.10","1,364",
" 90/02/22","7,756,741","155,650,842","20.30","20.40","19.70","19.70","-0.80","1,906",
" 90/02/23","4,094,554","81,606,033","19.90","20.10","19.70","19.90","+0.20","1,131",
" 90/02/26","4,560,861","92,189,939","20.20","20.40","19.90","20.20","+0.30","1,099",
" 90/02/27","4,148,967","84,166,438","20.50","20.60","20.00","20.00","-0.20","1,023",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

