"106年01月 1504 東元             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","632,801","17,633,390","27.75","28.00","27.70","27.75","-0.15","352",
"106/01/04","1,162,991","32,320,040","27.75","27.90","27.70","27.80","+0.05","660",
"106/01/05","2,214,590","61,896,716","27.90","28.00","27.85","28.00","+0.20","1,042",
"106/01/06","1,425,793","39,914,284","28.15","28.15","27.90","27.90","-0.10","719",
"106/01/09","890,859","24,903,118","28.20","28.20","27.75","27.90"," 0.00","486",
"106/01/10","1,243,584","34,697,621","27.90","28.05","27.75","27.85","-0.05","598",
"106/01/11","1,641,510","45,872,792","28.00","28.05","27.80","27.95","+0.10","929",
"106/01/12","2,352,071","65,925,170","27.95","28.10","27.90","28.05","+0.10","1,243",
"106/01/13","1,621,798","45,464,644","28.05","28.15","27.80","28.15","+0.10","736",
"106/01/16","1,150,844","32,109,052","28.15","28.15","27.55","27.95","-0.20","759",
"106/01/17","1,259,125","35,329,150","28.05","28.10","27.90","28.10","+0.15","673",
"106/01/18","913,362","25,647,985","28.10","28.20","27.90","28.05","-0.05","695",
"106/01/19","1,671,036","46,608,244","27.90","28.05","27.60","27.85","-0.20","795",
"106/01/20","1,893,973","52,515,045","27.65","27.85","27.60","27.85"," 0.00","1,021",
"106/01/23","3,356,754","94,553,691","27.95","28.40","27.90","28.05","+0.20","1,558",
"106/01/24","2,648,695","74,766,510","28.00","28.35","28.00","28.20","+0.15","1,202",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

