"9804る 1536 ㎝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/04/01","1,167,753","12,834,883","11.00","11.15","10.90","11.00","+0.20","301",
" 98/04/02","1,759,417","19,864,089","11.35","11.40","11.15","11.30","+0.30","361",
" 98/04/03","2,603,653","30,784,613","11.40","12.05","11.40","12.05","+0.75","613",
" 98/04/06","1,417,136","18,210,195","12.85","12.85","12.85","12.85","+0.80","259",
" 98/04/07","5,257,542","71,105,982","13.70","13.70","13.05","13.40","+0.55","1,250",
" 98/04/08","3,248,501","44,814,833","13.40","14.25","13.40","13.80","+0.40","917",
" 98/04/09","4,106,637","55,581,870","13.85","14.00","13.15","13.45","-0.35","1,083",
" 98/04/10","2,909,699","38,951,473","13.55","13.80","13.00","13.75","+0.30","880",
" 98/04/13","2,524,337","33,495,445","13.85","13.85","13.05","13.05","-0.70","796",
" 98/04/14","1,447,265","19,206,129","13.05","13.45","13.05","13.20","+0.15","497",
" 98/04/15","1,674,102","22,658,234","13.25","13.80","13.20","13.65","+0.45","593",
" 98/04/16","2,838,136","39,042,733","14.00","14.15","13.55","13.55","-0.10","781",
" 98/04/17","2,572,700","33,883,524","13.65","13.70","12.65","12.65","-0.90","793",
" 98/04/20","1,604,116","19,068,817","11.85","12.40","11.80","11.80","-0.85","512",
" 98/04/21","1,654,495","19,337,415","11.60","12.00","11.20","11.95","+0.15","415",
" 98/04/22","1,299,487","15,370,650","12.10","12.10","11.60","11.80","-0.15","369",
" 98/04/23","1,865,000","22,503,650","11.80","12.30","11.55","11.90","+0.10","488",
" 98/04/24","1,629,210","19,648,150","11.90","12.25","11.80","12.05","+0.15","377",
" 98/04/27","3,680,100","42,887,523","12.00","12.20","11.25","11.25","-0.80","492",
" 98/04/28","1,339,421","15,383,781","11.50","12.00","11.05","11.10","-0.15","407",
" 98/04/29","2,537,878","26,546,186","11.15","11.15","10.35","10.35","-0.75","572",
" 98/04/30","3,682,096","39,526,973","10.75","10.95","10.40","10.80","+0.45","833",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

