"107年07月 1536 和大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","3,651,381","552,223,912","148.50","153.50","147.00","152.50","+4.50","2,056",
"107/07/03","3,894,386","572,367,856","151.00","151.00","141.00","143.00","-9.50","2,408",
"107/07/04","1,650,119","231,736,779","140.00","141.50","139.50","140.50","X0.00","1,191",
"107/07/05","1,117,653","155,174,114","138.50","141.00","137.00","138.00","-2.50","804",
"107/07/06","1,430,500","200,555,000","139.00","144.00","137.50","142.00","+4.00","1,008",
"107/07/09","959,263","135,079,583","141.50","143.00","139.00","141.00","-1.00","646",
"107/07/10","874,535","123,974,699","143.50","143.50","141.00","141.00"," 0.00","538",
"107/07/11","659,735","93,172,400","141.00","142.00","139.50","140.50","-0.50","496",
"107/07/12","772,904","109,599,272","140.50","143.50","140.50","143.00","+2.50","542",
"107/07/13","1,144,533","164,108,219","144.50","145.00","142.00","144.00","+1.00","670",
"107/07/16","576,336","81,961,712","144.00","144.00","141.00","141.00","-3.00","422",
"107/07/17","644,843","91,451,363","142.50","143.50","141.00","141.00"," 0.00","546",
"107/07/18","871,852","124,928,336","143.00","145.00","142.00","143.00","+2.00","602",
"107/07/19","1,193,894","169,522,054","143.00","144.00","140.50","141.00","-2.00","692",
"107/07/20","1,754,434","243,096,826","140.50","141.50","137.00","137.50","-3.50","1,206",
"107/07/23","1,114,412","153,559,768","136.00","139.00","136.00","138.00","+0.50","893",
"107/07/24","8,623,324","1,114,531,120","137.00","137.00","126.00","129.00","-9.00","4,634",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

