"10009る 1590 ㄈ紈-KY        らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/09/01","1,278,100","257,105,390","209.00","212.50","196.50","199.50","-9.00","504",
"100/09/02","632,104","123,353,988","201.00","201.00","193.00","195.00","-4.50","479",
"100/09/05","652,040","120,724,980","186.00","189.00","182.00","182.00","-13.00","526",
"100/09/06","1,015,053","173,395,510","178.00","178.00","169.50","169.50","-12.50","609",
"100/09/07","593,080","105,703,980","170.00","181.00","170.00","181.00","+11.50","470",
"100/09/08","1,617,120","310,396,720","185.00","193.50","185.00","193.50","+12.50","753",
"100/09/09","1,211,100","237,647,000","199.00","200.00","189.50","195.00","+1.50","889",
"100/09/13","400,197","74,666,755","191.00","192.50","181.50","181.50","-13.50","316",
"100/09/14","354,327","62,499,879","184.00","186.00","170.00","174.00","-7.50","308",
"100/09/15","409,700","71,616,150","179.00","180.00","170.00","172.00","-2.00","328",
"100/09/16","1,040,060","179,186,880","175.00","177.00","169.00","172.00"," 0.00","666",
"100/09/19","321,500","54,759,500","173.50","175.50","166.00","166.50","-5.50","303",
"100/09/20","434,150","71,110,175","166.00","169.00","162.00","162.50","-4.00","367",
"100/09/21","530,243","83,526,501","164.00","164.00","155.00","158.00","-4.50","475",
"100/09/22","553,571","86,732,718","154.00","160.50","150.50","155.50","-2.50","460",
"100/09/23","540,010","79,437,085","148.00","150.50","145.00","149.50","-6.00","409",
"100/09/26","321,000","45,572,000","150.00","151.50","139.50","139.50","-10.00","285",
"100/09/27","417,000","61,429,500","145.00","149.00","143.00","147.50","+8.00","332",
"100/09/28","392,577","60,407,877","150.00","157.50","149.50","157.50","+10.00","369",
"100/09/29","801,500","133,148,249","160.00","168.50","158.50","168.50","+11.00","504",
"100/09/30","889,969","156,698,075","171.00","179.50","171.00","176.00","+7.50","697",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

