"105年12月 1590 亞德客-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","278,631","67,397,488","244.50","245.00","239.50","240.00","-1.50","271",
"105/12/02","190,100","45,482,000","239.00","243.00","237.50","239.00","-1.00","189",
"105/12/05","236,565","57,331,381","238.50","244.50","238.00","242.00","+3.00","227",
"105/12/06","1,266,369","321,658,964","247.00","261.50","246.00","258.00","+16.00","1,070",
"105/12/07","1,107,600","282,196,800","258.50","259.50","252.00","253.00","-5.00","989",
"105/12/08","1,032,029","267,946,496","256.00","263.00","255.00","258.00","+5.00","886",
"105/12/09","558,117","142,265,157","258.00","258.00","253.50","255.00","-3.00","486",
"105/12/12","455,055","116,968,025","256.50","264.00","253.00","253.50","-1.50","428",
"105/12/13","291,714","74,307,000","250.50","256.50","250.50","254.50","+1.00","275",
"105/12/14","469,510","122,004,590","257.00","261.50","257.00","260.50","+6.00","419",
"105/12/15","305,102","78,550,816","260.00","260.00","256.50","257.00","-3.50","266",
"105/12/16","287,807","73,608,574","258.50","260.00","254.00","255.00","-2.00","195",
"105/12/19","318,380","80,728,260","256.50","256.50","252.00","253.50","-1.50","277",
"105/12/20","328,119","82,899,750","258.00","258.00","250.00","251.50","-2.00","307",
"105/12/21","336,300","85,149,300","255.00","255.00","250.00","251.50"," 0.00","304",
"105/12/22","214,001","54,693,255","251.50","258.00","251.50","256.00","+4.50","199",
"105/12/23","88,201","22,454,550","254.00","258.00","253.00","253.00","-3.00","90",
"105/12/26","109,058","27,344,500","253.00","253.00","250.00","250.00","-3.00","106",
"105/12/27","165,566","40,808,604","247.00","249.00","245.00","245.50","-4.50","164",
"105/12/28","495,520","123,119,710","246.00","250.00","246.00","248.50","+3.00","333",
"105/12/29","436,119","108,915,757","248.50","253.50","245.00","248.50"," 0.00","337",
"105/12/30","484,570","123,547,990","249.00","258.00","249.00","257.00","+8.50","364",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

