"9408る 1704 篴て             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/08/01","1,412,002","26,297,183","18.60","18.85","18.45","18.75","+0.05","277",
" 94/08/02","3,198,602","61,659,070","18.90","19.60","18.90","19.20","+0.45","625",
" 94/08/03","3,542,105","70,668,891","20.20","20.20","19.60","19.90","+0.70","795",
" 94/08/04","2,052,103","41,174,524","20.00","20.35","19.65","20.35","+0.45","545",
" 94/08/08","5,012,990","105,793,878","20.55","21.35","20.55","21.30","+0.95","1,173",
" 94/08/09","4,819,236","103,982,984","21.50","21.85","21.25","21.60","+0.30","1,066",
" 94/08/10","3,988,134","84,697,390","21.80","21.90","20.95","21.10","-0.50","794",
" 94/08/11","6,004,849","131,671,815","21.30","22.40","21.20","22.20","+1.10","1,463",
" 94/08/12","12,316,837","289,264,278","22.90","23.75","22.80","23.40","+1.20","2,551",
" 94/08/15","17,132,413","410,540,555","23.45","24.45","23.40","23.50","+0.10","2,731",
" 94/08/16","7,045,040","161,472,890","23.50","23.50","22.65","23.10","-0.40","1,225",
" 94/08/17","3,231,931","74,535,124","23.00","23.30","22.75","23.10"," 0.00","819",
" 94/08/18","3,206,682","73,398,551","22.75","23.10","22.70","23.05","-0.05","684",
" 94/08/19","5,900,056","137,398,393","23.00","23.60","22.90","23.00","-0.05","1,296",
" 94/08/22","2,466,990","56,673,706","23.15","23.35","22.75","22.75","-0.25","631",
" 94/08/23","3,653,406","81,871,747","22.75","22.75","22.05","22.05","-0.70","883",
" 94/08/24","6,965,137","154,591,090","22.05","22.65","21.55","22.30","+0.25","1,195",
" 94/08/25","4,611,303","104,416,864","22.45","23.15","22.20","23.15","+0.85","1,066",
" 94/08/26","10,640,209","253,289,436","23.30","24.30","23.30","23.60","+0.45","2,132",
" 94/08/29","4,683,529","110,728,068","23.65","24.00","23.35","23.60"," 0.00","1,061",
" 94/08/30","12,363,891","301,810,864","23.60","25.20","23.50","25.15","+1.55","2,833",
" 94/08/31","9,294,508","233,493,626","25.60","25.70","24.00","24.60","-0.55","2,412",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

