"106年09月 1704 榮化             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","735,871","29,829,469","40.70","40.70","40.50","40.50","+0.05","486",
"106/09/04","2,246,749","91,980,431","40.60","41.35","40.55","40.65","+0.15","1,081",
"106/09/05","1,289,276","52,701,744","40.95","41.10","40.70","40.95","+0.30","816",
"106/09/06","1,268,420","51,548,274","40.90","40.90","40.50","40.55","-0.40","635",
"106/09/07","1,605,387","65,263,469","40.65","41.00","40.50","40.50","-0.05","832",
"106/09/08","1,840,714","75,349,809","40.80","41.15","40.80","40.85","+0.35","981",
"106/09/11","1,998,424","82,310,959","41.10","41.30","41.00","41.30","+0.45","970",
"106/09/12","3,079,009","129,116,263","41.50","42.35","41.50","41.85","+0.55","1,448",
"106/09/13","1,399,723","58,229,412","41.90","42.00","41.40","41.40","-0.45","667",
"106/09/14","939,230","39,132,893","41.70","41.95","41.45","41.70","+0.30","498",
"106/09/15","2,043,162","85,321,404","41.95","42.00","41.50","42.00","+0.30","868",
"106/09/18","1,888,769","79,396,861","42.05","42.25","41.90","42.00"," 0.00","805",
"106/09/19","1,623,650","67,792,847","42.10","42.25","41.40","41.50","-0.50","965",
"106/09/20","1,443,834","59,283,293","41.70","41.70","40.90","40.95","-0.55","856",
"106/09/21","1,009,399","41,402,334","41.15","41.30","40.90","40.95"," 0.00","544",
"106/09/22","919,083","37,420,669","41.10","41.15","40.60","40.65","-0.30","570",
"106/09/25","1,803,015","72,373,392","40.70","40.90","39.90","40.15","-0.50","918",
"106/09/26","1,182,644","47,620,128","40.15","40.60","40.10","40.15"," 0.00","634",
"106/09/27","555,768","22,411,254","40.20","40.45","40.20","40.35","+0.20","326",
"106/09/28","929,251","37,289,319","40.35","40.45","40.05","40.15","-0.20","476",
"106/09/29","1,096,064","43,861,574","40.05","40.40","39.75","40.40","+0.25","617",
"106/09/30","417,324","16,853,169","40.50","40.50","40.30","40.35","-0.05","245",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

