"89年08月 1707 葡萄王           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 89/08/01","242,001","2,625,760","11.00","11.10","10.60","10.90","-0.10","92",
" 89/08/02","125,441","1,365,678","10.95","11.00","10.70","10.90"," 0.00","59",
" 89/08/03","230,177","2,457,256","10.70","10.80","10.60","10.65","-0.25","65",
" 89/08/04","186,001","1,992,010","10.65","10.95","10.60","10.75","+0.10","67",
" 89/08/05","161,000","1,728,050","10.90","10.90","10.60","10.60","-0.15","57",
" 89/08/07","115,000","1,199,500","10.60","10.60","10.40","10.40","-0.20","43",
" 89/08/08","234,007","2,441,270","10.40","10.65","10.30","10.40"," 0.00","91",
" 89/08/09","260,000","2,770,800","10.40","10.80","10.40","10.75","+0.35","87",
" 89/08/10","116,049","1,236,910","10.80","10.90","10.60","10.65","-0.10","46",
" 89/08/11","101,525","1,071,809","10.55","10.65","10.50","10.50","-0.15","38",
" 89/08/14","113,001","1,165,260","10.50","10.50","10.20","10.25","-0.25","44",
" 89/08/15","156,150","1,607,628","10.35","10.40","10.25","10.25"," 0.00","54",
" 89/08/16","205,885","2,101,516","10.15","10.40","10.15","10.15","-0.10","79",
" 89/08/17","333,024","3,365,491","10.10","10.25","10.00","10.25","+0.10","116",
" 89/08/18","665,020","6,959,952","10.25","10.70","10.20","10.70","+0.45","214",
" 89/08/19","203,115","2,147,509","10.80","10.80","10.30","10.40","-0.30","95",
" 89/08/21","193,000","2,008,350","10.35","10.65","10.30","10.40"," 0.00","83",
" 89/08/22","114,901","1,183,915","10.40","10.50","10.20","10.20","-0.20","54",
" 89/08/24","334,000","3,362,500","10.20","10.25","10.00","10.15","-0.05","96",
" 89/08/25","423,001","4,130,960","10.00","10.10","9.50","9.70","-0.45","129",
" 89/08/28","208,865","1,968,444","9.70","9.70","9.20","9.20","-0.50","66",
" 89/08/29","451,203","3,931,057","9.00","9.00","8.60","8.70","-0.50","138",
" 89/08/30","495,556","4,059,197","8.10","8.70","8.10","8.10","-0.60","155",
" 89/08/31","746,006","5,906,098","8.00","8.10","7.80","7.85","-0.25","211",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

