"9506る 1710 狥羛             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/06/01","5,406,170","115,741,656","21.00","21.65","21.00","21.35","+0.70","1,465",
" 95/06/02","1,930,341","41,291,938","21.55","21.60","21.20","21.35"," 0.00","608",
" 95/06/05","2,730,972","57,502,912","21.40","21.40","20.65","20.70","-0.65","844",
" 95/06/06","2,520,144","52,158,318","20.70","20.90","20.50","20.80","+0.10","760",
" 95/06/07","1,648,153","34,139,951","20.80","20.85","20.60","20.65","-0.15","424",
" 95/06/08","5,230,724","105,170,126","20.50","20.55","19.80","19.80","-0.85","1,524",
" 95/06/09","3,738,317","75,364,365","20.15","20.50","19.80","20.35","+0.55","1,102",
" 95/06/12","2,187,523","44,372,089","20.35","20.60","20.10","20.45","+0.10","637",
" 95/06/13","2,077,124","41,984,281","20.40","20.40","20.10","20.15","-0.30","547",
" 95/06/14","2,273,448","46,396,051","20.20","20.65","20.15","20.45","+0.30","606",
" 95/06/15","1,785,851","36,474,755","20.50","20.65","20.30","20.35","-0.10","554",
" 95/06/16","2,029,589","42,143,863","20.70","20.85","20.65","20.85","+0.50","656",
" 95/06/19","2,935,661","62,277,000","20.90","21.55","20.75","21.50","+0.65","976",
" 95/06/20","2,520,825","53,051,138","21.30","21.45","20.75","20.80","-0.70","828",
" 95/06/21","1,756,897","36,630,009","20.70","21.05","20.65","20.70","-0.10","536",
" 95/06/22","1,236,627","26,007,823","21.05","21.15","20.90","21.10","+0.40","471",
" 95/06/23","1,486,925","30,884,790","21.00","21.00","20.70","20.85","-0.25","484",
" 95/06/26","1,548,987","32,424,772","21.00","21.05","20.85","21.05","+0.20","436",
" 95/06/27","2,543,744","53,743,252","21.00","21.35","20.95","21.15","+0.10","758",
" 95/06/28","1,700,020","35,778,814","21.00","21.15","20.85","21.15"," 0.00","500",
" 95/06/29","3,890,337","83,608,219","21.20","21.70","21.20","21.55","+0.40","1,085",
" 95/06/30","2,654,336","57,446,668","21.90","21.90","21.50","21.55"," 0.00","715",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

