"107年07月 1710 東聯             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","9,061,288","287,569,866","31.35","32.45","31.25","32.35","X0.00","3,045",
"107/07/03","3,115,704","98,903,284","32.50","32.50","31.35","31.35","-1.00","1,348",
"107/07/04","1,546,540","48,906,081","31.20","31.95","31.20","31.60","+0.25","1,009",
"107/07/05","1,509,569","47,446,631","31.90","31.90","31.25","31.30","-0.30","846",
"107/07/06","2,146,784","67,582,832","31.50","31.85","31.15","31.70","+0.40","998",
"107/07/09","1,352,852","43,063,325","32.00","32.00","31.55","32.00","+0.30","776",
"107/07/10","6,352,019","208,552,863","31.80","33.35","31.65","33.20","+1.20","2,775",
"107/07/11","4,242,837","140,890,342","32.90","33.75","32.55","33.35","+0.15","2,154",
"107/07/12","3,081,582","103,235,667","33.10","33.80","33.00","33.75","+0.40","1,690",
"107/07/13","3,265,695","111,180,898","34.00","34.50","33.80","34.10","+0.35","1,852",
"107/07/16","2,845,293","96,370,690","34.20","34.50","33.30","33.45","-0.65","1,794",
"107/07/17","3,218,765","106,332,685","33.60","33.80","32.55","32.80","-0.65","1,760",
"107/07/18","4,336,977","140,866,396","33.00","33.30","32.05","32.65","-0.15","1,756",
"107/07/19","3,599,447","115,369,752","32.90","32.90","31.90","31.90","-0.75","1,282",
"107/07/20","3,498,063","110,417,788","32.10","32.20","31.35","31.50","-0.40","1,205",
"107/07/23","2,069,511","65,190,694","31.50","31.95","31.20","31.50"," 0.00","938",
"107/07/24","2,270,520","72,025,481","31.50","32.20","31.45","32.10","+0.60","1,152",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

