"93年05月 1717 長興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/05/03","1,172,000","23,464,000","20.30","20.40","19.80","20.00","-0.40","333",
" 93/05/04","933,000","17,988,800","19.40","19.60","19.00","19.30","X0.00","308",
" 93/05/05","2,755,085","50,430,127","19.30","19.30","18.00","18.00","-1.30","560",
" 93/05/06","1,111,342","20,396,207","19.20","19.20","18.00","18.10","+0.10","425",
" 93/05/07","757,835","13,902,330","18.20","18.60","18.10","18.60","+0.50","190",
" 93/05/10","2,740,254","47,903,998","18.50","18.50","17.30","17.40","-1.20","489",
" 93/05/11","764,283","13,504,106","17.70","17.90","17.40","17.90","+0.50","244",
" 93/05/12","1,878,631","33,871,638","18.20","18.20","17.80","18.00","+0.10","354",
" 93/05/13","2,539,725","44,382,292","17.80","17.80","17.20","17.70","-0.30","427",
" 93/05/14","3,249,290","55,480,406","17.70","17.70","16.90","16.90","-0.80","532",
" 93/05/17","1,781,410","29,581,588","16.70","16.90","16.30","16.90"," 0.00","416",
" 93/05/18","4,607,841","76,046,245","16.70","16.80","16.30","16.50","-0.40","604",
" 93/05/19","6,092,822","103,926,887","16.80","17.50","16.50","17.30","+0.80","785",
" 93/05/20","1,628,571","27,917,044","17.20","17.50","16.90","17.10","-0.20","337",
" 93/05/21","2,155,350","37,907,853","17.40","17.80","17.30","17.80","+0.70","439",
" 93/05/24","814,672","14,277,007","17.60","17.70","17.40","17.60","-0.20","226",
" 93/05/25","889,311","15,668,855","17.50","17.90","17.40","17.40","-0.20","212",
" 93/05/26","656,127","11,595,397","17.70","17.80","17.50","17.70","+0.30","178",
" 93/05/27","930,282","16,292,174","17.70","17.80","17.30","17.50","-0.20","141",
" 93/05/28","887,432","15,691,820","17.60","17.80","17.50","17.80","+0.30","240",
" 93/05/31","3,153,778","56,866,875","17.90","18.30","17.80","17.90","+0.10","616",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

