"9208る 1722              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/08/01","3,250,100","58,772,126","18.20","18.30","17.90","18.10","+0.20","539",
" 92/08/04","2,013,998","36,257,164","18.10","18.10","17.90","17.90","-0.20","388",
" 92/08/05","2,191,694","39,167,687","18.00","18.10","17.80","17.80","-0.10","433",
" 92/08/06","1,496,924","26,512,271","17.90","17.90","17.60","17.60","-0.20","319",
" 92/08/07","2,096,060","36,963,877","17.70","17.80","17.50","17.60"," 0.00","369",
" 92/08/08","3,703,600","65,914,915","17.70","18.00","17.60","17.70","+0.10","587",
" 92/08/11","1,549,138","27,340,457","17.80","17.90","17.60","17.60","-0.10","294",
" 92/08/12","1,474,826","26,198,371","17.70","17.80","17.60","17.80","+0.20","262",
" 92/08/13","9,196,002","167,135,750","17.90","18.40","17.90","18.10","+0.30","1,111",
" 92/08/14","4,960,398","89,915,664","18.10","18.30","17.90","18.10"," 0.00","638",
" 92/08/15","4,440,372","80,971,996","18.20","18.40","18.10","18.30","+0.20","626",
" 92/08/18","22,950,200","429,108,140","18.40","19.00","18.30","18.70","+0.40","2,353",
" 92/08/19","6,370,000","117,702,396","18.50","18.70","18.30","18.30","-0.40","852",
" 92/08/20","2,944,324","53,936,492","18.50","18.50","18.20","18.30"," 0.00","465",
" 92/08/21","7,574,422","136,891,177","18.30","18.50","17.90","18.00","-0.30","935",
" 92/08/22","4,368,203","79,627,987","18.20","18.40","18.10","18.20","+0.20","721",
" 92/08/25","45,896,855","877,495,471","18.40","19.40","18.40","19.40","+1.20","5,505",
" 92/08/26","28,916,895","559,256,961","19.60","19.60","18.90","19.10","-0.30","4,252",
" 92/08/27","18,938,192","355,963,148","19.10","19.10","18.60","18.60","-0.50","1,807",
" 92/08/28","9,942,900","186,099,248","18.90","19.00","18.30","18.40","-0.20","1,481",
" 92/08/29","5,585,694","104,181,798","18.70","18.80","18.50","18.60","+0.20","780",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

