"108年01月 1722 台肥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/01/02","1,904,800","82,168,641","43.50","43.50","42.80","42.85","-0.35","1,199",
"108/01/03","1,439,079","62,055,824","42.90","43.30","42.70","43.20","+0.35","753",
"108/01/04","2,178,371","94,143,137","42.80","43.55","42.70","43.25","+0.05","869",
"108/01/07","1,537,618","66,884,798","43.50","43.65","43.40","43.60","+0.35","811",
"108/01/08","2,344,254","102,932,293","43.65","44.15","43.45","44.00","+0.40","1,264",
"108/01/09","2,421,930","106,938,908","44.20","44.35","44.00","44.00"," 0.00","1,299",
"108/01/10","2,561,597","112,706,463","43.95","44.30","43.70","44.15","+0.15","1,381",
"108/01/11","1,734,608","76,509,721","44.10","44.25","44.00","44.05","-0.10","906",
"108/01/14","2,316,655","102,434,388","43.80","44.50","43.80","44.40","+0.35","1,268",
"108/01/15","1,847,301","82,237,661","44.40","44.70","44.20","44.70","+0.30","1,149",
"108/01/16","1,989,712","88,360,722","44.70","44.70","44.05","44.45","-0.25","1,280",
"108/01/17","1,089,611","48,149,712","44.50","44.60","44.00","44.10","-0.35","662",
"108/01/18","930,856","41,004,821","44.10","44.25","43.90","44.20","+0.10","618",
"108/01/21","958,447","42,305,447","44.20","44.30","44.00","44.20"," 0.00","672",
"108/01/22","1,699,034","74,627,646","44.20","44.20","43.80","43.90","-0.30","1,173",
"108/01/23","1,908,545","83,688,439","43.90","44.05","43.70","43.95","+0.05","1,384",
"108/01/24","2,338,281","102,814,566","43.90","44.40","43.80","44.05","+0.10","1,345",
"108/01/25","3,483,760","152,402,737","44.20","44.20","43.60","43.65","-0.40","2,030",
"108/01/28","3,428,148","148,657,302","43.65","43.75","43.25","43.35","-0.30","2,607",
"108/01/29","3,012,492","129,723,097","43.35","43.40","42.90","43.40","+0.05","2,037",
"108/01/30","2,447,423","105,704,718","43.25","43.35","43.10","43.35","-0.05","1,325",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

