"90年06月 1723 中碳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 90/06/01","184,409","5,722,374","31.30","31.30","30.80","30.80","-0.50","100",
" 90/06/04","145,024","4,411,070","30.80","30.80","30.20","30.50","-0.30","98",
" 90/06/05","120,100","3,697,434","30.50","31.00","30.50","31.00","+0.50","74",
" 90/06/06","363,000","11,399,600","31.20","31.70","31.00","31.60","+0.60","179",
" 90/06/07","1,057,020","33,612,767","31.80","32.30","31.30","31.30","-0.30","394",
" 90/06/08","450,000","14,209,200","31.60","31.90","31.30","31.50","+0.20","200",
" 90/06/11","166,260","5,223,987","31.50","31.80","31.30","31.30","-0.20","106",
" 90/06/12","237,200","7,457,528","31.30","31.70","31.30","31.60","+0.30","83",
" 90/06/13","536,103","16,745,177","31.60","31.90","30.60","31.00","-0.60","207",
" 90/06/14","288,200","8,879,867","31.00","31.00","30.70","30.80","-0.20","122",
" 90/06/15","234,500","7,297,120","31.20","31.40","30.80","31.10","+0.30","127",
" 90/06/18","277,000","8,634,200","31.30","31.60","30.90","30.90","-0.20","123",
" 90/06/19","224,500","6,932,558","31.00","31.20","30.70","30.70","-0.20","121",
" 90/06/20","301,600","9,244,224","30.60","31.00","30.50","30.60","-0.10","142",
" 90/06/21","263,874","8,113,503","30.60","30.90","30.60","30.80","+0.20","133",
" 90/06/22","206,000","6,305,540","31.00","31.00","30.50","30.50","-0.30","101",
" 90/06/26","627,000","18,866,600","30.30","30.40","30.00","30.00","-0.50","209",
" 90/06/27","799,000","23,989,600","30.00","30.40","29.80","30.00"," 0.00","288",
" 90/06/28","586,000","15,215,300","26.10","26.10","25.80","26.10","X0.00","229",
" 90/06/29","300,400","7,896,079","26.50","26.50","26.00","26.00","-0.10","141",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

