"101年08月 1789 神隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/08/01","4,428,603","260,611,193","57.90","59.30","57.90","58.70","+0.90","2,282",
"101/08/03","5,262,830","313,666,248","58.70","60.00","58.50","59.80","+1.10","2,553",
"101/08/06","2,993,344","178,194,600","60.20","60.60","59.00","59.60","-0.20","1,443",
"101/08/07","1,972,866","117,474,360","60.00","60.00","59.10","59.80","+0.20","1,126",
"101/08/08","3,644,127","218,272,767","59.50","60.50","59.40","60.00","+0.20","1,767",
"101/08/09","5,531,770","322,646,370","58.10","59.40","57.40","58.50","X0.00","2,774",
"101/08/10","3,376,474","200,066,632","59.00","59.80","58.60","59.80","+1.30","1,853",
"101/08/13","3,476,880","207,584,480","59.80","60.50","58.80","58.90","-0.90","1,671",
"101/08/14","1,861,137","109,537,420","59.00","59.40","58.60","58.60","-0.30","1,044",
"101/08/15","2,007,164","118,918,657","58.60","59.60","58.60","59.50","+0.90","1,005",
"101/08/16","2,828,380","169,294,910","60.00","60.40","59.10","59.10","-0.40","1,530",
"101/08/17","2,142,102","126,953,524","59.80","59.90","58.80","59.20","+0.10","1,176",
"101/08/20","1,173,460","69,410,500","59.20","59.60","58.80","58.80","-0.40","664",
"101/08/21","1,398,450","82,933,129","59.00","59.60","58.90","59.30","+0.50","747",
"101/08/22","5,821,189","353,084,532","59.50","61.30","59.00","60.40","+1.10","3,084",
"101/08/23","2,811,827","170,271,948","60.90","61.30","59.80","59.90","-0.50","1,622",
"101/08/24","7,251,409","448,902,439","60.70","63.50","60.00","62.20","+2.30","4,029",
"101/08/27","5,180,342","329,761,888","63.50","64.50","62.50","64.00","+1.80","2,967",
"101/08/28","4,178,859","262,010,526","64.00","64.00","61.90","61.90","-2.10","2,226",
"101/08/29","3,529,922","218,809,636","61.50","62.60","61.50","62.10","+0.20","1,894",
"101/08/30","3,372,179","206,838,198","61.90","62.00","60.90","61.10","-1.00","1,728",
"101/08/31","2,549,110","156,502,063","61.50","62.50","60.80","61.00","-0.10","1,516",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

