"92年09月 1907 永豐餘           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 92/09/01","6,178,439","81,251,883","13.10","13.35","12.90","13.15","+0.15","1,099",
" 92/09/02","18,240,707","245,891,689","13.35","13.60","13.35","13.40","+0.25","2,331",
" 92/09/03","15,626,932","213,130,708","13.60","13.85","13.40","13.50","+0.10","2,243",
" 92/09/04","6,189,825","83,620,466","13.50","13.60","13.35","13.40","-0.10","1,173",
" 92/09/05","3,526,959","47,218,063","13.50","13.55","13.30","13.30","-0.10","642",
" 92/09/08","1,950,870","26,038,501","13.35","13.45","13.25","13.35","+0.05","512",
" 92/09/09","10,120,701","131,300,162","13.35","13.40","12.75","12.80","-0.55","1,181",
" 92/09/10","3,254,114","41,290,431","12.70","12.85","12.60","12.65","-0.15","553",
" 92/09/12","1,492,565","19,111,694","12.70","12.90","12.65","12.90","+0.25","378",
" 92/09/15","1,906,884","24,564,876","12.90","13.00","12.80","12.90"," 0.00","348",
" 92/09/16","1,202,011","15,499,630","12.90","13.00","12.80","12.95","+0.05","329",
" 92/09/17","9,982,685","133,258,314","13.05","13.45","13.05","13.20","+0.25","1,429",
" 92/09/18","4,083,957","54,253,412","13.30","13.40","13.10","13.35","+0.15","868",
" 92/09/19","13,625,075","185,671,039","13.45","13.75","13.35","13.70","+0.35","2,120",
" 92/09/22","3,801,120","51,170,475","13.70","13.70","13.30","13.45","-0.25","737",
" 92/09/23","1,998,892","26,783,899","13.45","13.50","13.30","13.35","-0.10","486",
" 92/09/24","6,870,143","93,927,425","13.55","13.80","13.50","13.50","+0.15","1,154",
" 92/09/25","3,429,968","46,340,453","13.35","13.65","13.30","13.55","+0.05","635",
" 92/09/26","3,349,293","45,453,067","13.65","13.80","13.40","13.50","-0.05","623",
" 92/09/29","2,154,199","28,626,716","13.40","13.50","13.20","13.35","-0.15","427",
" 92/09/30","1,946,768","25,780,457","13.45","13.45","13.15","13.20","-0.15","378",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

