"10505る 1909 篴Θ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","1,924,989","25,861,847","13.55","13.55","13.30","13.50"," 0.00","545",
"105/05/04","1,750,500","23,416,799","13.40","13.50","13.30","13.40","-0.10","705",
"105/05/05","1,372,507","18,310,091","13.35","13.45","13.25","13.40"," 0.00","595",
"105/05/06","942,218","12,569,047","13.45","13.45","13.30","13.30","-0.10","347",
"105/05/09","1,762,395","23,798,440","13.50","13.60","13.45","13.45","+0.15","524",
"105/05/10","1,240,940","16,777,483","13.50","13.60","13.40","13.55","+0.10","536",
"105/05/11","651,739","8,826,673","13.60","13.60","13.50","13.55"," 0.00","248",
"105/05/12","663,781","8,987,699","13.50","13.60","13.45","13.45","-0.10","392",
"105/05/13","1,824,630","24,345,269","13.50","13.50","13.25","13.45"," 0.00","685",
"105/05/16","1,539,119","20,389,674","13.30","13.40","13.15","13.25","-0.20","593",
"105/05/17","676,889","8,999,419","13.30","13.35","13.20","13.30","+0.05","293",
"105/05/18","950,362","12,593,873","13.30","13.35","13.20","13.25","-0.05","332",
"105/05/19","1,567,366","20,554,471","13.25","13.30","13.00","13.05","-0.20","486",
"105/05/20","744,367","9,760,786","13.10","13.20","13.05","13.10","+0.05","362",
"105/05/23","1,158,220","15,344,674","13.10","13.40","13.05","13.40","+0.30","436",
"105/05/24","982,841","13,061,699","13.35","13.40","13.20","13.35","-0.05","466",
"105/05/25","1,276,240","16,928,537","13.35","13.40","13.20","13.30","-0.05","450",
"105/05/26","356,390","4,738,682","13.30","13.35","13.25","13.35","+0.05","125",
"105/05/27","513,668","6,862,277","13.30","13.40","13.30","13.35"," 0.00","224",
"105/05/30","567,706","7,559,637","13.40","13.40","13.25","13.35"," 0.00","254",
"105/05/31","1,037,723","13,754,225","13.35","13.35","13.20","13.25","-0.10","595",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

