"107年04月 1909 榮成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","707,795","23,138,485","32.80","32.85","32.60","32.70","+0.10","492",
"107/04/03","881,385","28,658,005","32.50","32.75","32.35","32.75","+0.05","612",
"107/04/09","3,591,586","115,909,317","33.00","33.20","31.40","32.25","-0.50","1,976",
"107/04/10","12,095,384","417,291,432","32.85","35.45","32.40","35.45","+3.20","5,172",
"107/04/11","7,324,143","258,252,723","35.65","35.75","34.50","35.00","-0.45","3,360",
"107/04/12","3,215,675","114,185,356","34.90","35.90","34.90","35.50","+0.50","1,698",
"107/04/13","3,319,871","117,356,249","35.70","35.85","35.05","35.20","-0.30","1,243",
"107/04/16","3,035,595","105,296,125","35.20","35.20","34.40","34.95","-0.25","1,606",
"107/04/17","3,399,790","117,079,101","35.00","35.15","34.20","34.50","-0.45","1,278",
"107/04/18","2,940,406","101,053,790","34.30","34.95","34.00","34.50"," 0.00","1,383",
"107/04/19","3,344,530","117,272,833","34.50","35.75","34.35","35.50","+1.00","1,428",
"107/04/20","12,314,013","455,997,918","35.20","38.35","34.95","37.20","+1.70","5,252",
"107/04/23","4,146,741","153,183,412","36.85","37.35","36.40","37.30","+0.10","1,992",
"107/04/24","3,577,302","131,198,324","37.20","37.25","36.05","37.00","-0.30","1,657",
"107/04/25","3,949,871","145,359,491","36.55","38.00","36.05","36.30","-0.70","1,931",
"107/04/26","3,140,927","111,525,424","36.35","36.50","34.85","35.00","-1.30","1,507",
"107/04/27","3,525,043","123,351,934","35.10","35.90","34.50","34.60","-0.40","1,907",
"107/04/30","1,596,327","55,802,127","34.70","35.30","34.60","34.75","+0.15","795",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

