"101年05月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/05/02","15,275,861","445,231,398","29.10","29.30","29.00","29.25","+0.20","4,986",
"101/05/03","9,329,810","270,786,632","29.25","29.25","28.90","29.10","-0.15","3,362",
"101/05/04","17,814,782","517,526,820","29.10","29.20","28.85","29.20","+0.10","3,764",
"101/05/07","21,780,332","626,310,478","29.00","29.00","28.70","28.75","-0.45","8,020",
"101/05/08","10,771,138","309,581,100","29.00","29.00","28.70","28.70","-0.05","4,755",
"101/05/09","17,654,533","503,926,789","28.70","28.70","28.50","28.50","-0.20","7,607",
"101/05/10","16,413,648","467,230,218","28.50","28.55","28.40","28.40","-0.10","5,886",
"101/05/11","23,879,279","672,350,214","28.40","28.40","28.00","28.35","-0.05","8,217",
"101/05/14","9,758,365","275,225,858","28.35","28.35","28.10","28.35"," 0.00","3,550",
"101/05/15","16,225,859","453,997,040","28.10","28.30","28.10","28.25","-0.10","4,007",
"101/05/16","18,987,977","533,677,614","28.25","28.30","28.00","28.00","-0.25","6,409",
"101/05/17","16,066,154","451,747,734","28.20","28.20","28.00","28.15","+0.15","5,529",
"101/05/18","22,248,995","622,094,411","28.00","28.10","27.80","28.00","-0.15","8,510",
"101/05/21","10,353,364","291,119,742","28.00","28.20","28.00","28.20","+0.20","3,462",
"101/05/22","12,633,985","355,008,606","28.20","28.25","28.00","28.20"," 0.00","4,808",
"101/05/23","14,636,102","410,597,811","28.20","28.20","28.00","28.00","-0.20","5,142",
"101/05/24","15,320,577","428,492,079","28.00","28.10","27.90","28.00"," 0.00","5,226",
"101/05/25","12,101,664","338,355,242","28.00","28.05","27.90","27.90","-0.10","4,418",
"101/05/28","13,449,559","375,074,752","27.90","28.00","27.80","27.85","-0.05","4,382",
"101/05/29","17,110,431","479,351,703","27.95","28.30","27.85","28.25","+0.40","5,495",
"101/05/30","29,434,206","824,427,527","28.20","28.25","27.85","28.05","-0.20","6,947",
"101/05/31","32,252,679","896,909,443","27.80","28.00","27.65","28.00","-0.05","9,148",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

