"99年07月 2006 東和鋼鐵         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 99/07/01","2,147,739","54,718,940","25.40","25.75","25.25","25.45","+0.05","926",
" 99/07/02","2,090,726","54,153,526","25.95","26.10","25.60","25.85","+0.40","943",
" 99/07/05","1,384,064","35,903,082","26.10","26.20","25.80","25.90","+0.05","582",
" 99/07/06","3,811,357","101,324,125","25.75","26.90","25.75","26.85","+0.95","1,504",
" 99/07/07","1,938,037","51,818,730","26.95","26.95","26.65","26.85"," 0.00","835",
" 99/07/08","2,548,015","68,723,340","27.10","27.20","26.80","26.80","-0.05","988",
" 99/07/09","1,117,529","30,034,519","27.00","27.00","26.80","26.90","+0.10","488",
" 99/07/12","2,149,732","58,351,814","27.00","27.35","26.95","26.95","+0.05","938",
" 99/07/13","2,702,437","72,759,551","27.15","27.15","26.80","26.85","-0.10","678",
" 99/07/14","3,228,285","86,595,610","26.90","27.05","26.70","26.85"," 0.00","1,534",
" 99/07/15","1,804,907","48,463,898","26.85","27.00","26.70","26.80","-0.05","848",
" 99/07/16","2,077,127","55,708,777","26.80","26.95","26.70","26.70","-0.10","706",
" 99/07/19","6,752,440","185,896,258","26.60","27.90","26.60","27.70","+1.00","2,700",
" 99/07/20","4,555,508","124,789,777","27.65","27.70","27.10","27.65","-0.05","1,691",
" 99/07/21","3,285,300","89,542,426","27.50","27.50","27.10","27.30","-0.35","1,312",
" 99/07/22","6,598,698","181,900,387","27.30","27.80","27.25","27.60","+0.30","2,104",
" 99/07/23","10,742,052","292,124,780","26.65","27.55","26.65","27.10","X0.00","2,805",
" 99/07/26","18,229,212","519,132,258","27.80","28.95","27.50","28.95","+1.85","5,763",
" 99/07/27","10,347,723","298,927,265","29.00","29.15","28.40","28.80","-0.15","3,115",
" 99/07/28","5,098,799","147,435,211","28.70","29.15","28.65","28.85","+0.05","2,110",
" 99/07/29","4,353,011","124,129,609","28.75","28.85","28.15","28.75","-0.10","1,535",
" 99/07/30","4,884,211","138,417,869","28.70","28.70","28.10","28.10","-0.65","1,931",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

