"9611る 2014 い翬             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/11/01","18,344,267","322,714,249","18.30","18.35","17.00","17.45","-0.75","3,216",
" 96/11/02","7,081,073","121,779,666","16.70","17.50","16.70","17.40","-0.05","1,628",
" 96/11/05","11,500,588","204,264,620","17.50","18.00","17.40","17.65","+0.25","2,060",
" 96/11/06","6,869,506","123,392,994","17.80","18.10","17.80","17.90","+0.25","1,330",
" 96/11/07","10,550,264","193,266,766","18.15","18.55","18.05","18.20","+0.30","1,899",
" 96/11/08","11,736,356","207,163,819","18.00","18.05","17.20","17.35","-0.85","1,862",
" 96/11/09","10,784,358","193,066,320","17.50","18.30","17.50","18.10","+0.75","2,153",
" 96/11/12","12,161,879","217,729,851","17.85","18.20","17.50","17.70","-0.40","2,312",
" 96/11/13","22,494,862","416,956,087","17.90","18.90","17.90","18.60","+0.90","4,792",
" 96/11/14","27,491,258","521,811,985","19.00","19.20","18.65","18.70","+0.10","4,577",
" 96/11/15","19,508,259","371,413,971","18.90","19.15","18.90","19.00","+0.30","4,302",
" 96/11/16","8,863,499","164,756,472","18.60","18.75","18.40","18.70","-0.30","2,112",
" 96/11/19","8,056,430","149,795,039","18.90","18.95","18.35","18.35","-0.35","1,663",
" 96/11/20","16,700,756","293,613,606","17.90","18.20","17.10","18.20","-0.15","3,361",
" 96/11/21","9,358,655","171,787,290","18.30","18.60","18.00","18.00","-0.20","2,264",
" 96/11/22","5,634,440","101,653,291","18.00","18.25","17.80","18.00"," 0.00","1,359",
" 96/11/23","13,987,967","257,724,453","18.50","18.80","18.05","18.05","+0.05","3,076",
" 96/11/26","14,807,293","268,141,247","18.35","18.45","17.70","18.10","+0.05","3,123",
" 96/11/27","6,960,550","123,839,100","17.80","18.05","17.60","18.00","-0.10","1,727",
" 96/11/28","6,221,255","111,773,840","18.25","18.25","17.80","17.80","-0.20","1,653",
" 96/11/29","7,635,385","136,312,159","18.10","18.15","17.70","17.70","-0.10","1,686",
" 96/11/30","5,679,555","101,580,190","18.10","18.10","17.75","17.80","+0.10","1,301",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

