"105年10月 2014 中鴻             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/10/03","1,585,620","10,785,135","6.78","6.84","6.77","6.78","-0.05","403",
"105/10/04","1,762,860","11,844,094","6.78","6.79","6.69","6.70","-0.08","539",
"105/10/05","1,489,567","10,012,954","6.70","6.82","6.67","6.73","+0.03","468",
"105/10/06","1,172,070","7,942,132","6.73","6.81","6.73","6.75","+0.02","368",
"105/10/07","2,706,347","18,111,754","6.75","6.79","6.63","6.73","-0.02","652",
"105/10/11","1,989,067","13,180,030","6.73","6.73","6.53","6.56","-0.17","557",
"105/10/12","2,939,584","19,273,990","6.51","6.62","6.46","6.59","+0.03","651",
"105/10/13","996,074","6,557,701","6.60","6.64","6.55","6.56","-0.03","351",
"105/10/14","1,790,238","11,693,685","6.52","6.58","6.50","6.56"," 0.00","468",
"105/10/17","1,219,124","8,010,077","6.55","6.62","6.52","6.59","+0.03","397",
"105/10/18","1,393,256","9,234,050","6.63","6.68","6.60","6.68","+0.09","368",
"105/10/19","1,911,441","12,841,137","6.69","6.78","6.65","6.78","+0.10","528",
"105/10/20","16,724,737","119,300,121","6.81","7.35","6.81","7.32","+0.54","3,552",
"105/10/21","8,115,904","57,844,992","7.23","7.23","7.06","7.09","-0.23","1,743",
"105/10/24","5,571,023","39,571,357","7.13","7.24","6.99","7.24","+0.15","1,136",
"105/10/25","7,049,770","51,222,615","7.30","7.38","7.16","7.17","-0.07","1,463",
"105/10/26","8,372,252","60,744,969","7.24","7.32","7.20","7.26","+0.09","1,603",
"105/10/27","7,679,520","56,354,453","7.27","7.48","7.26","7.29","+0.03","1,646",
"105/10/28","4,572,676","33,213,181","7.31","7.37","7.20","7.25","-0.04","885",
"105/10/31","2,458,160","17,738,938","7.25","7.30","7.12","7.20","-0.05","651",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

