"89年04月 2015 豐興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 89/04/01","1,228,900","16,989,397","13.90","14.10","13.70","13.80","-0.10","230",
" 89/04/05","2,934,000","42,259,900","13.90","14.65","13.90","14.40","+0.60","432",
" 89/04/06","5,131,984","76,939,327","14.90","15.30","14.60","14.60","+0.20","769",
" 89/04/07","1,650,503","23,884,108","14.70","14.90","14.20","14.20","-0.40","299",
" 89/04/08","1,793,716","25,221,858","14.20","14.20","13.80","13.80","-0.40","314",
" 89/04/10","880,000","12,232,900","13.85","14.00","13.80","13.90","+0.10","169",
" 89/04/11","1,775,967","25,090,956","14.00","14.40","13.90","13.90"," 0.00","391",
" 89/04/12","1,291,057","18,359,045","14.30","14.40","14.05","14.10","+0.20","238",
" 89/04/13","1,619,930","22,527,074","14.10","14.30","13.70","13.75","-0.35","292",
" 89/04/14","1,472,095","19,782,879","13.60","13.75","13.10","13.15","-0.60","294",
" 89/04/15","1,577,832","19,720,190","12.75","12.75","12.30","12.45","-0.70","290",
" 89/04/17","847,000","10,712,300","12.70","12.80","12.50","12.75","+0.30","166",
" 89/04/18","637,000","8,314,050","13.00","13.20","12.90","13.10","+0.35","125",
" 89/04/19","435,967","5,666,646","13.10","13.30","12.80","12.80","-0.30","113",
" 89/04/20","460,132","5,961,609","12.90","13.10","12.80","12.95","+0.15","145",
" 89/04/21","1,470,152","19,560,937","13.10","13.50","12.95","13.30","+0.35","360",
" 89/04/24","753,101","9,982,986","13.60","13.60","12.95","13.00","-0.30","170",
" 89/04/25","953,100","12,240,643","13.10","13.20","12.60","12.70","-0.30","170",
" 89/04/26","1,655,352","20,618,674","12.90","12.95","11.85","12.05","-0.65","224",
" 89/04/27","1,291,142","15,691,501","12.20","12.30","12.00","12.10","+0.05","205",
" 89/04/28","972,215","11,904,436","12.15","12.50","11.90","12.50","+0.40","168",
" 89/04/29","885,378","10,876,097","12.50","12.50","12.20","12.30","-0.20","132",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

