"95年04月 2023 燁輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 95/04/03","50,249,115","754,623,639","14.60","15.25","14.60","15.15","+0.75","6,466",
" 95/04/04","24,958,182","374,306,702","15.15","15.30","14.75","14.85","-0.30","3,925",
" 95/04/06","16,806,201","250,010,659","15.00","15.10","14.65","14.85"," 0.00","2,780",
" 95/04/07","8,604,467","127,819,597","14.95","15.00","14.70","14.85"," 0.00","1,732",
" 95/04/10","31,392,448","481,203,370","14.95","15.60","14.80","15.20","+0.35","5,251",
" 95/04/11","55,537,388","875,890,696","15.25","16.25","15.00","16.25","+1.05","7,788",
" 95/04/12","78,075,926","1,278,731,183","16.25","16.80","15.70","15.80","-0.45","10,540",
" 95/04/13","23,379,078","371,344,134","15.85","16.20","15.60","15.80"," 0.00","4,329",
" 95/04/14","14,137,495","224,776,891","15.90","16.05","15.70","15.90","+0.10","2,476",
" 95/04/17","32,904,959","548,026,020","16.00","17.00","16.00","16.50","+0.60","5,184",
" 95/04/18","25,414,071","402,488,397","16.50","16.55","15.40","16.00","-0.50","4,391",
" 95/04/19","23,194,491","371,336,768","16.20","16.35","15.75","15.75","-0.25","3,614",
" 95/04/20","13,982,642","221,491,222","16.00","16.10","15.50","16.10","+0.35","3,119",
" 95/04/21","25,262,999","394,033,685","16.20","16.20","15.00","15.10","-1.00","4,263",
" 95/04/24","16,220,145","249,605,008","15.15","15.60","15.15","15.50","+0.40","2,870",
" 95/04/25","19,590,719","309,852,255","15.80","16.10","15.50","15.80","+0.30","3,982",
" 95/04/26","18,468,694","295,322,454","16.10","16.15","15.80","16.05","+0.25","3,282",
" 95/04/27","15,601,275","244,165,713","16.20","16.20","15.30","15.30","-0.75","2,829",
" 95/04/28","33,619,676","481,353,311","14.90","14.95","14.25","14.25","-1.05","4,732",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

