"101年05月 2049 上銀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/05/02","6,089,529","1,768,306,904","282.00","296.00","282.00","296.00","+19.00","3,982",
"101/05/03","5,207,573","1,572,293,750","300.00","305.50","298.00","302.50","+6.50","3,773",
"101/05/04","2,693,881","810,549,681","302.00","303.00","297.00","303.00","+0.50","2,090",
"101/05/07","2,174,252","647,960,961","296.00","301.00","296.00","297.50","-5.50","1,781",
"101/05/08","2,201,224","658,201,200","300.50","302.00","294.50","301.00","+3.50","1,751",
"101/05/09","3,534,083","1,065,976,317","296.50","308.00","295.00","300.00","-1.00","2,830",
"101/05/10","2,131,714","636,492,696","298.00","302.50","296.00","297.00","-3.00","1,619",
"101/05/11","2,919,672","855,789,178","295.00","299.00","289.00","289.00","-8.00","2,243",
"101/05/14","2,705,223","768,037,609","290.00","291.00","279.50","283.00","-6.00","2,129",
"101/05/15","2,943,325","840,150,250","278.00","291.00","277.00","289.50","+6.50","2,215",
"101/05/16","1,840,049","524,861,884","286.50","289.50","282.00","283.50","-6.00","1,530",
"101/05/17","2,850,492","832,036,904","286.00","298.50","285.00","292.50","+9.00","2,340",
"101/05/18","3,201,114","905,260,972","288.50","289.00","277.00","278.00","-14.50","2,650",
"101/05/21","2,120,386","593,587,694","279.00","283.00","277.50","279.00","+1.00","1,761",
"101/05/22","2,185,037","623,903,518","285.00","291.00","281.00","284.50","+5.50","1,843",
"101/05/23","2,229,660","628,645,420","282.00","288.00","276.00","287.00","+2.50","1,901",
"101/05/24","2,641,582","760,131,788","288.50","292.50","282.50","284.00","-3.00","2,188",
"101/05/25","1,330,714","377,496,134","288.00","288.00","281.00","281.00","-3.00","1,162",
"101/05/28","3,646,448","1,022,108,691","281.00","289.50","272.00","289.50","+8.50","2,926",
"101/05/29","5,720,052","1,718,966,808","291.00","307.50","291.00","304.50","+15.00","4,544",
"101/05/30","3,121,406","935,119,488","304.50","304.50","297.00","297.00","-7.50","2,519",
"101/05/31","2,236,580","662,814,420","293.00","299.50","292.00","299.00","+2.00","1,876",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

