"10103る 2059 打             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/03/01","1,210,513","196,014,349","160.00","163.50","160.00","162.00","+2.00","749",
"101/03/02","871,651","140,991,311","163.00","164.00","160.00","162.00"," 0.00","471",
"101/03/03","2,183,605","363,575,756","162.00","173.00","161.50","172.50","+10.50","1,239",
"101/03/05","4,066,772","716,612,100","173.00","181.00","172.00","175.50","+3.00","2,485",
"101/03/06","1,591,681","270,445,470","174.00","174.50","165.00","173.00","-2.50","1,067",
"101/03/07","2,389,202","417,579,046","169.00","179.50","168.00","174.00","+1.00","1,437",
"101/03/08","1,500,400","262,575,100","176.00","176.50","173.00","174.00"," 0.00","1,028",
"101/03/09","2,134,854","380,517,158","176.50","181.00","174.50","178.00","+4.00","1,373",
"101/03/12","1,057,669","188,181,408","180.00","180.00","176.00","176.50","-1.50","688",
"101/03/13","1,626,021","282,630,675","177.50","178.50","170.00","175.00","-1.50","964",
"101/03/14","972,858","170,852,292","178.00","178.50","173.00","173.50","-1.50","651",
"101/03/15","3,379,568","615,306,080","175.50","185.50","175.00","185.50","+12.00","1,955",
"101/03/16","1,965,451","364,753,984","186.00","187.50","183.50","185.00","-0.50","1,259",
"101/03/19","1,029,978","190,349,939","185.00","188.00","182.00","185.50","+0.50","702",
"101/03/20","1,000,807","185,997,988","186.00","188.50","183.00","185.00","-0.50","656",
"101/03/21","1,345,427","245,050,360","187.50","187.50","179.50","180.50","-4.50","831",
"101/03/22","953,436","172,164,480","180.50","184.00","177.00","180.50"," 0.00","694",
"101/03/23","905,353","161,476,334","180.50","181.00","177.00","179.00","-1.50","530",
"101/03/26","461,491","82,243,152","179.00","180.00","176.50","178.00","-1.00","341",
"101/03/27","1,657,880","290,308,000","179.00","179.50","169.00","174.00","-4.00","888",
"101/03/28","777,472","137,113,516","174.00","178.50","174.00","178.50","+4.50","547",
"101/03/29","954,853","166,626,422","178.50","178.50","172.50","174.00","-4.50","672",
"101/03/30","905,830","158,761,493","174.00","178.00","173.00","177.50","+3.50","545",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

