"92年12月 2101 南港             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 92/12/01","847,000","22,367,900","26.10","26.60","26.10","26.50"," 0.00","233",
" 92/12/02","932,174","24,752,186","26.40","26.70","26.40","26.60","+0.10","283",
" 92/12/03","395,878","10,512,588","26.80","26.80","26.40","26.40","-0.20","157",
" 92/12/04","301,290","7,986,915","26.50","26.70","26.30","26.50","+0.10","141",
" 92/12/05","635,590","16,864,850","26.70","26.80","26.30","26.30","-0.20","187",
" 92/12/08","706,200","18,785,232","26.70","26.90","26.30","26.80","+0.50","221",
" 92/12/09","1,062,576","28,016,453","26.90","26.90","26.20","26.20","-0.60","249",
" 92/12/10","8,295,300","223,803,517","26.40","28.00","26.00","28.00","+1.80","1,432",
" 92/12/11","2,217,000","61,666,751","28.00","28.30","27.30","27.70","-0.30","663",
" 92/12/12","1,504,000","41,470,677","27.30","28.00","27.30","27.40","-0.30","349",
" 92/12/15","834,005","22,867,570","27.60","27.80","27.10","27.50","+0.10","272",
" 92/12/16","1,473,000","41,189,256","27.30","28.50","27.30","27.70","+0.20","544",
" 92/12/17","1,330,585","36,557,522","27.80","28.10","27.10","27.20","-0.50","404",
" 92/12/18","568,160","15,622,828","27.30","27.70","27.20","27.40","+0.20","206",
" 92/12/19","462,300","12,742,278","27.60","27.80","27.40","27.50","+0.10","175",
" 92/12/22","673,772","18,654,120","27.40","28.00","27.30","28.00","+0.50","222",
" 92/12/23","1,328,290","37,338,479","28.00","28.50","27.60","28.20","+0.20","390",
" 92/12/24","1,655,010","47,211,830","28.40","28.80","28.20","28.50","+0.30","473",
" 92/12/25","1,036,739","29,607,650","28.60","28.90","28.20","28.60","+0.10","274",
" 92/12/26","522,350","14,810,805","28.40","28.70","28.20","28.20","-0.40","188",
" 92/12/29","876,895","24,843,651","28.30","28.60","28.10","28.30","+0.10","261",
" 92/12/30","745,100","21,218,207","28.30","28.60","28.30","28.50","+0.20","231",
" 92/12/31","486,617","13,889,987","28.40","28.80","28.30","28.50"," 0.00","190",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

