"91年01月 2103 台橡             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 91/01/02","4,906,000","23,383,700","4.65","4.86","4.65","4.76","+0.12","593",
" 91/01/03","4,889,019","23,801,166","4.80","4.98","4.80","4.88","+0.12","612",
" 91/01/04","3,648,646","17,709,549","4.95","4.96","4.76","4.80","-0.08","427",
" 91/01/07","7,964,464","39,979,476","4.83","5.10","4.83","5.10","+0.30","920",
" 91/01/08","5,738,263","28,867,437","5.10","5.20","4.84","4.92","-0.18","710",
" 91/01/09","4,703,147","22,853,127","4.93","4.99","4.80","4.89","-0.03","552",
" 91/01/10","6,396,918","32,001,604","4.89","5.10","4.85","5.10","+0.21","705",
" 91/01/11","15,791,137","83,851,931","5.15","5.45","5.05","5.15","+0.05","1,435",
" 91/01/14","7,749,348","40,120,400","5.15","5.30","5.00","5.00","-0.15","723",
" 91/01/15","3,547,585","17,200,707","4.98","5.00","4.75","4.85","-0.15","444",
" 91/01/16","2,475,689","12,165,478","4.95","4.97","4.82","4.85"," 0.00","318",
" 91/01/17","2,459,000","11,896,360","4.80","4.90","4.80","4.84","-0.01","293",
" 91/01/18","1,820,595","8,935,962","4.98","4.98","4.84","4.84"," 0.00","245",
" 91/01/21","2,111,329","10,421,040","4.85","5.00","4.85","5.00","+0.16","284",
" 91/01/22","2,470,116","12,121,452","5.00","5.00","4.83","4.84","-0.16","263",
" 91/01/23","2,762,338","13,394,871","4.85","4.93","4.76","4.80","-0.04","383",
" 91/01/24","2,256,336","11,004,473","4.85","4.93","4.83","4.90","+0.10","363",
" 91/01/25","4,247,903","20,908,003","4.95","4.97","4.88","4.92","+0.02","491",
" 91/01/28","5,483,660","27,512,236","4.96","5.10","4.93","5.00","+0.08","598",
" 91/01/29","2,499,950","12,398,847","5.05","5.05","4.86","4.86","-0.14","315",
" 91/01/30","1,724,889","8,446,110","4.83","4.96","4.83","4.94","+0.08","235",
" 91/01/31","5,811,310","30,274,420","4.98","5.25","4.97","5.25","+0.31","506",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

