"92年02月 2104 中橡             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 92/02/06","6,355,000","83,503,950","13.00","13.40","12.90","13.00","+0.20","1,197",
" 92/02/07","6,550,483","82,352,291","13.20","13.40","12.10","12.10","-0.90","1,194",
" 92/02/10","4,807,552","56,989,545","12.10","12.40","11.55","11.55","-0.55","841",
" 92/02/11","6,094,439","70,865,418","11.90","11.90","11.40","11.55"," 0.00","1,010",
" 92/02/12","6,476,527","76,719,666","11.50","12.05","11.50","11.85","+0.30","1,140",
" 92/02/13","15,096,836","183,794,516","12.10","12.45","11.80","11.85"," 0.00","2,586",
" 92/02/14","27,972,882","350,989,683","12.30","12.65","12.20","12.65","+0.80","3,561",
" 92/02/17","24,695,505","318,643,817","12.80","13.20","12.70","12.85","+0.20","3,910",
" 92/02/18","8,142,789","101,196,624","12.85","12.85","12.10","12.15","-0.70","1,522",
" 92/02/19","6,349,133","77,328,084","12.30","12.45","12.00","12.00","-0.15","1,335",
" 92/02/20","6,022,927","69,685,231","12.00","12.15","11.20","11.25","-0.75","1,322",
" 92/02/21","3,233,240","36,715,998","11.35","11.50","11.25","11.30","+0.05","755",
" 92/02/24","2,458,127","28,317,299","11.60","11.70","11.35","11.65","+0.35","668",
" 92/02/25","3,737,365","41,260,656","11.50","11.50","10.85","10.90","-0.75","816",
" 92/02/26","2,139,998","23,502,265","11.00","11.15","10.85","10.95","+0.05","558",
" 92/02/27","2,317,157","25,206,386","10.75","11.05","10.60","10.95"," 0.00","536",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

