"108年03月 2104 國際中橡         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","10,473,095","471,012,960","44.65","45.40","44.35","45.30","+0.65","4,884",
"108/03/05","4,487,031","201,681,501","45.00","45.25","44.65","44.80","-0.50","2,446",
"108/03/06","3,629,701","163,423,790","44.90","45.25","44.80","44.85","+0.05","1,871",
"108/03/07","4,168,256","186,816,703","44.80","45.20","44.50","44.50","-0.35","2,201",
"108/03/08","2,429,860","107,283,351","44.50","44.50","44.05","44.15","-0.35","1,640",
"108/03/11","2,048,368","90,585,032","44.25","44.55","44.10","44.20","+0.05","1,356",
"108/03/12","4,118,954","183,954,625","44.30","45.05","44.15","44.60","+0.40","2,177",
"108/03/13","2,240,622","99,681,672","44.70","44.80","44.35","44.45","-0.15","1,205",
"108/03/14","3,190,012","142,533,724","44.50","45.00","44.40","44.55","+0.10","1,876",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

